Symbol,Shares,% Holdings,Type,Price,Price Change,Price Change %,Value,Value Gain/Loss,Value Gain/Loss %,Players Holding
ACLS,"340",2%,BUY,"$72.85","-1.99","-2.66%","$24,769.00","$4,059.60","19.60%","N/A"
AGI,"1,200",3%,BUY,"$25.72","-0.50","-1.91%","$30,864.00","$192.00","0.63%","N/A"
AMD,"185",3%,BUY,"$162.12","3.47","2.19%","$29,992.20","$9,716.20","47.92%","N/A"
AMZN,"167",3%,BUY,"$232.23","3.94","1.73%","$38,782.41","$3,532.05","10.02%","N/A"
ANET,"216",2%,BUY,"$114.04","1.00","0.88%","$24,632.64","$4,704.48","23.61%","N/A"
ASML,"40",3%,BUY,"$725.08","8.15","1.14%","$29,003.20","-$1,305.60","-4.31%","N/A"
ASTS,"1,656",9%,BUY,"$60.06","1.14","1.93%","$99,459.36","$58,977.18","145.69%","N/A"
AVGO,"105",3%,BUY,"$288.71","5.02","1.77%","$30,314.55","$1,495.20","5.19%","N/A"
BBAI,"5,500",4%,BUY,"$7.80","-0.13","-1.64%","$42,900.00","$22,660.00","111.96%","N/A"
C,"333",3%,BUY,"$95.39","-0.60","-0.63%","$31,764.87","$6,746.58","26.97%","N/A"
COST,"30",2%,BUY,"$933.80","-7.39","-0.79%","$28,014.00","-$2,279.70","-7.53%","N/A"
CSCO,"324",2%,BUY,"$68.29","-0.33","-0.48%","$22,125.96","$2,143.26","10.73%","N/A"
CWEN,"700",2%,BUY,"$31.78","-0.59","-1.82%","$22,246.00","$2,285.50","11.45%","N/A"
DOMO,"2,100",3%,BUY,"$16.13","0.00","0.00%","$33,873.00","$2,898.00","9.36%","N/A"
DUK,"215",2%,BUY,"$119.75","0.24","0.20%","$25,746.25","$814.85","3.27%","N/A"
ETR,"246",2%,BUY,"$88.15","0.03","0.03%","$21,684.90","$1,694.94","8.48%","N/A"
FBTC,"224",2%,BUY,"$103.95","0.00","0.00%","$23,284.80","$2,991.72","14.74%","N/A"
FLEX,"244",1%,BUY,"$49.67","-4.13","-7.68%","$12,119.48","$2,089.86","20.84%","N/A"
FTNT,"245",2%,BUY,"$104.77","-0.29","-0.28%","$25,668.65","$804.83","3.24%","N/A"
GCT,"1,101",2%,BUY,"$24.01","-0.64","-2.60%","$26,435.01","$6,055.39","29.71%","N/A"
GLD,"100",3%,BUY,"$310.30","-1.88","-0.60%","$31,030.00","$1,131.00","3.78%","N/A"
GOOGL,"221",4%,BUY,"$192.17","1.94","1.02%","$42,469.57","$7,382.51","21.04%","N/A"
JBL,"62",1%,BUY,"$218.41","-10.74","-4.69%","$13,541.42","$3,479.13","34.58%","N/A"
KLXE,"5,076",< 1%,BUY,"$1.97","-0.02","-1.01%","$9,999.72","-$203.04","-1.99%","N/A"
KO,"359",2%,BUY,"$69.10","-0.06","-0.09%","$24,806.90","-$177.71","-0.71%","N/A"
MSFT,"78",3%,BUY,"$510.88","5.01","0.99%","$39,848.64","$4,905.42","14.04%","N/A"
MTZ,"90",1%,BUY,"$181.75","-0.64","-0.35%","$16,357.50","$2,537.10","18.36%","N/A"
NRT,"2,049",< 1%,BUY,"$5.14","-0.07","-1.34%","$10,531.86","$660.60","6.69%","N/A"
NVDA,"205",3%,BUY,"$173.74","2.96","1.73%","$35,616.70","$5,802.53","19.46%","N/A"
PAAS,"1,095",3%,BUY,"$29.27","-0.28","-0.95%","$32,050.65","$6,635.70","26.11%","N/A"
SBUX,"233",2%,BUY,"$93.70","-2.22","-2.31%","$21,832.10","$1,824.39","9.12%","N/A"
SHY,"308",2%,BUY,"$82.50","-0.07","-0.08%","$25,410.00","$33.88","0.13%","N/A"
SO,"284",2%,BUY,"$95.00","-0.13","-0.14%","$26,980.00","$2,047.64","8.21%","N/A"
TMUS,"83",2%,BUY,"$247.50","13.57","5.80%","$20,542.50","$683.92","3.44%","N/A"
TSLA,"67",2%,BUY,"$305.30","-27.26","-8.20%","$20,455.10","$242.27","1.20%","N/A"
USEG,"9,345",< 1%,BUY,"$1.22","-0.04","-3.17%","$11,400.90","$1,308.30","12.96%","N/A"
VTIP,"700",3%,BUY,"$50.03","0.01","0.02%","$35,021.00","$17.85","0.05%","N/A"
WBD,"1,625",2%,BUY,"$13.50","0.19","1.43%","$21,937.50","$6,906.25","45.95%","N/A"
WFC,"267",2%,BUY,"$83.87","0.17","0.20%","$22,393.29","$2,242.80","11.13%","N/A"
WMT,"324",3%,BUY,"$96.60","0.92","0.96%","$31,298.40","-$359.64","-1.14%","N/A"
