Symbol,Shares,% Holdings,Type,Price,Price Change,Price Change %,Value,Value Gain/Loss,Value Gain/Loss %,Players Holding
AAPL,"305",3%,BUY,"$213.76","-0.39","-0.18%","$65,196.80","$4,886.10","8.10%","N/A"
AMD,"537",4%,BUY,"$162.12","3.47","2.19%","$87,058.44","$16,161.39","22.80%","N/A"
AMZN,"158",2%,BUY,"$232.23","3.94","1.73%","$36,692.34","$6,439.29","21.28%","N/A"
ARM,"680",5%,BUY,"$159.99","0.71","0.45%","$108,793.20","$15,340.80","16.42%","N/A"
ASML,"26",< 1%,BUY,"$725.08","8.15","1.14%","$18,852.08","-$622.18","-3.19%","N/A"
AVGO,"308",4%,BUY,"$288.71","5.02","1.77%","$88,922.68","$14,076.81","18.81%","N/A"
CELH,"3,205",6%,BUY,"$46.31","1.15","2.55%","$148,423.55","$10,372.48","7.51%","N/A"
COIN,"496",8%,BUY,"$396.70","-1.11","-0.28%","$196,763.20","$44,691.95","29.39%","N/A"
COST,"10",< 1%,BUY,"$933.80","-7.39","-0.79%","$9,338.00","-$588.50","-5.93%","N/A"
CRWD,"190",4%,BUY,"$462.03","0.51","0.11%","$87,785.70","-$1,541.85","-1.73%","N/A"
CRWV,"655",3%,BUY,"$120.00","-6.05","-4.80%","$78,600.00","-$10,651.73","-11.93%","N/A"
DDOG,"574",4%,BUY,"$146.56","2.56","1.78%","$84,125.44","$16,605.66","24.59%","N/A"
GOOGL,"198",2%,BUY,"$192.17","1.94","1.02%","$38,049.66","$7,412.13","24.19%","N/A"
JPM,"50",< 1%,BUY,"$296.55","-0.21","-0.07%","$14,827.50","$2,243.25","17.83%","N/A"
LLY,"42",1%,BUY,"$805.43","6.54","0.82%","$33,828.06","$3,320.10","10.88%","N/A"
META,"212",6%,BUY,"$714.80","1.22","0.17%","$151,537.60","$12,487.32","8.98%","N/A"
MSFT,"203",4%,BUY,"$510.88","5.01","0.99%","$103,708.64","$13,974.58","15.57%","N/A"
NOW,"19",< 1%,BUY,"$996.18","39.75","4.16%","$18,927.42","-$239.59","-1.25%","N/A"
NVDA,"1,362",10%,BUY,"$173.74","2.96","1.73%","$236,633.88","$52,312.48","28.38%","N/A"
PATH,"850",< 1%,BUY,"$12.32","-0.30","-2.38%","$10,472.00","-$714.00","-6.38%","N/A"
PLTR,"905",6%,BUY,"$154.86","0.23","0.15%","$140,148.30","$15,608.40","12.53%","N/A"
SHOP,"895",5%,BUY,"$122.08","-0.13","-0.11%","$109,261.60","$11,794.20","12.10%","N/A"
SMCI,"1,230",3%,BUY,"$52.52","0.82","1.59%","$64,599.60","$11,210.31","21.00%","N/A"
SNOW,"645",6%,BUY,"$215.02","2.46","1.16%","$138,687.90","$5,136.03","3.85%","N/A"
SYM,"1,440",3%,BUY,"$53.42","-0.66","-1.22%","$76,924.80","$22,166.90","40.48%","N/A"
TOST,"610",1%,BUY,"$48.07","0.64","1.35%","$29,322.70","$3,897.90","15.33%","N/A"
TSLA,"258",3%,BUY,"$305.30","-27.26","-8.20%","$78,767.40","-$4,268.78","-5.14%","N/A"
TSM,"235",2%,BUY,"$241.60","1.27","0.53%","$56,776.00","$6,765.65","13.53%","N/A"
UPST,"805",3%,BUY,"$82.70","-1.43","-1.70%","$66,573.50","$12,532.60","23.19%","N/A"
