Symbol,Shares,% Holdings,Type,Price,Price Change,Price Change %,Value,Value Gain/Loss,Value Gain/Loss %,Players Holding
AAPL,"241",4%,BUY,"$213.76","-0.39","-0.18%","$51,516.16","$1,825.37","3.67%","N/A"
AMZN,"40",< 1%,BUY,"$232.23","3.94","1.73%","$9,289.20","$1,098.20","13.41%","N/A"
ASML,"10",< 1%,BUY,"$725.08","8.15","1.14%","$7,250.80","-$418.10","-5.45%","N/A"
AVGO,"110",3%,BUY,"$288.71","5.02","1.77%","$31,758.10","$5,931.40","22.97%","N/A"
BABA,"184",2%,BUY,"$121.15","-1.43","-1.17%","$22,291.60","$252.96","1.15%","N/A"
BAC,"868",4%,BUY,"$48.39","0.25","0.52%","$42,002.52","$2,754.38","7.02%","N/A"
COST,"48.81",4%,BUY,"$933.80","-7.39","-0.79%","$45,578.78","-$2,067.81","-4.34%","N/A"
CRM,"225",5%,BUY,"$267.70","0.48","0.18%","$60,232.50","-$623.25","-1.02%","N/A"
CVNA,"43",1%,BUY,"$326.09","-16.91","-4.93%","$14,021.87","-$882.50","-5.92%","N/A"
DAL,"127",< 1%,BUY,"$54.71","-1.27","-2.27%","$6,948.17","-$208.28","-2.91%","N/A"
DIS,"563",6%,BUY,"$121.95","-0.99","-0.81%","$68,657.85","$6,132.12","9.81%","N/A"
EBAY,"50",< 1%,BUY,"$82.45","0.52","0.63%","$4,122.50","$577.58","16.29%","N/A"
ENPH,"242",< 1%,BUY,"$35.52","-0.97","-2.65%","$8,594.63","-$1,491.93","-14.79%","N/A"
EXR,"67",< 1%,BUY,"$150.51","-0.47","-0.31%","$10,084.17","$249.91","2.54%","N/A"
F,"3,639",4%,BUY,"$11.26","-0.12","-1.05%","$40,975.14","$2,408.13","6.24%","N/A"
FTNT,"100",< 1%,BUY,"$104.77","-0.29","-0.28%","$10,477.00","$399.00","3.96%","N/A"
GE,"223.24",5%,BUY,"$268.01","4.83","1.84%","$59,830.55","$9,931.95","19.90%","N/A"
GM,"100",< 1%,BUY,"$52.34","-0.79","-1.49%","$5,234.00","$223.00","4.45%","N/A"
GME,"3,935",8%,BUY,"$23.53","-0.43","-1.79%","$92,590.55","-$8,828.58","-8.71%","N/A"
GOOGL,"193",3%,BUY,"$192.17","1.94","1.02%","$37,088.81","$4,805.69","14.89%","N/A"
HD,"66",2%,BUY,"$373.09","-3.26","-0.87%","$24,623.94","$103.95","0.42%","N/A"
JPM,"94",2%,BUY,"$296.55","-0.21","-0.07%","$27,875.70","$2,780.52","11.08%","N/A"
KMI,"421",< 1%,BUY,"$27.42","0.61","2.28%","$11,543.82","-$145.25","-1.24%","N/A"
META,"44",3%,BUY,"$714.80","1.22","0.17%","$31,451.20","$2,662.22","9.25%","N/A"
MSFT,"81",4%,BUY,"$510.88","5.01","0.99%","$41,381.28","$4,600.82","12.51%","N/A"
NFLX,"17",2%,BUY,"$1,180.76","3.98","0.34%","$20,072.92","$561.34","2.88%","N/A"
NOW,"57",5%,BUY,"$996.18","39.75","4.16%","$56,782.26","$563.44","1.00%","N/A"
ONON,"300",1%,BUY,"$49.95","-1.69","-3.27%","$14,985.00","-$1,272.06","-7.82%","N/A"
OXY,"435",2%,BUY,"$44.63","0.19","0.43%","$19,414.05","$706.88","3.78%","N/A"
PFE,"915",2%,BUY,"$25.35","-0.01","-0.04%","$23,195.25","$2,200.98","10.48%","N/A"
PFGC,"303",3%,BUY,"$97.99","-1.54","-1.55%","$29,690.97","$3,411.78","12.98%","N/A"
SBUX,"269",2%,BUY,"$93.70","-2.22","-2.31%","$25,205.30","$1,926.04","8.27%","N/A"
SHEL,"129",< 1%,BUY,"$72.38","-0.38","-0.52%","$9,337.02","$742.40","8.64%","N/A"
SMCI,"48",< 1%,BUY,"$52.52","0.82","1.59%","$2,520.96","$504.72","25.03%","N/A"
SONY,"889",2%,BUY,"$25.38","0.12","0.48%","$22,562.82","$248.92","1.12%","N/A"
TSLA,"145",4%,BUY,"$305.30","-27.26","-8.20%","$44,268.50","-$1,261.50","-2.77%","N/A"
TSM,"143",3%,BUY,"$241.60","1.27","0.53%","$34,548.80","$3,604.80","11.65%","N/A"
TWLO,"296",3%,BUY,"$131.67","-1.03","-0.78%","$38,974.32","$5,708.89","17.16%","N/A"
VRTX,"50",2%,BUY,"$472.27","-4.68","-0.98%","$23,613.50","$844.00","3.71%","N/A"
WMT,"167",1%,BUY,"$96.60","0.92","0.96%","$16,132.20","$387.44","2.46%","N/A"
XOM,"88",< 1%,BUY,"$110.79","0.86","0.78%","$9,749.52","-$354.64","-3.51%","N/A"
