Symbol,Shares,% Holdings,Type,Price,Price Change,Price Change %,Value,Value Gain/Loss,Value Gain/Loss %,Players Holding
ARM,"1,250",6%,BUY,"$161.20","1.92","1.21%","$201,500.00","$40,487.50","25.15%","N/A"
ATNF,"33,511",2%,BUY,"$2.11","-0.18","-7.96%","$70,631.13","-$23,903.40","-25.29%","N/A"
CLNN,"73,579",8%,BUY,"$3.78","0.04","1.07%","$278,128.62","$24,629.55","9.72%","N/A"
COST,"1",< 1%,BUY,"$935.61","-5.58","-0.59%","$935.61","-$63.15","-6.32%","N/A"
NVDA,"1,750",9%,BUY,"$173.65","2.87","1.68%","$303,887.68","$70,840.18","30.40%","N/A"
OKUR,"80,000",6%,BUY,"$2.39","0.01","0.42%","$191,200.00","$43,200.00","29.19%","N/A"
PLTR,"1,500",7%,BUY,"$154.95","0.32","0.21%","$232,424.85","$38,879.85","20.09%","N/A"
RCKT,"25,000",2%,BUY,"$3.20","-0.16","-4.76%","$80,000.00","-$83,250.00","-51.00%","N/A"
RYET,"33,579",2%,BUY,"$2.07","-0.02","-0.96%","$69,508.53","-$1,511.06","-2.13%","N/A"
SEI,"5,000",5%,BUY,"$32.92","3.51","11.92%","$164,575.00","$48,375.00","41.63%","N/A"
SYTA,"1,515",< 1%,BUY,"$3.97","-0.05","-1.13%","$6,021.67","$401.02","7.13%","N/A"
TNGX,"175,083",36%,BUY,"$6.83","-0.05","-0.73%","$1,195,816.89","$351,611.01","41.65%","N/A"
UNH,"750",6%,BUY,"$281.86","-10.65","-3.64%","$211,395.00","-$29,655.00","-12.30%","N/A"
WMT,"1",< 1%,BUY,"$96.62","0.94","0.98%","$96.62","$0.60","0.62%","N/A"
XENE,"7,500",7%,BUY,"$31.06","-0.14","-0.43%","$232,912.50","$10,762.50","4.84%","N/A"
XFOR,"29,586",2%,BUY,"$2.09","0.59","39.00%","$61,686.81","-$38,609.73","-38.50%","N/A"
