Symbol,Shares,% Holdings,Type,Price,Price Change,Price Change %,Value,Value Gain/Loss,Value Gain/Loss %,Players Holding
AAPL,"30",< 1%,BUY,"$213.76","-0.39","-0.18%","$6,412.80","$40.05","0.63%","N/A"
AMZN,"200",2%,BUY,"$232.23","3.94","1.73%","$46,446.00","$4,164.00","9.85%","N/A"
AOSL,"4,300",6%,BUY,"$27.48","-1.04","-3.65%","$118,164.00","$8,729.00","7.98%","N/A"
AVGO,"473",6%,BUY,"$288.71","5.02","1.77%","$136,559.83","$16,693.40","13.93%","N/A"
BAC,"200",< 1%,BUY,"$48.39","0.25","0.52%","$9,678.00","$840.00","9.50%","N/A"
BAH,"800",4%,BUY,"$115.12","-0.83","-0.72%","$92,096.00","$9,872.00","12.01%","N/A"
BRK.B,"20",< 1%,BUY,"$480.60","-2.03","-0.42%","$9,612.00","-$625.00","-6.11%","N/A"
COST,"10",< 1%,BUY,"$933.80","-7.39","-0.79%","$9,338.00","-$799.15","-7.88%","N/A"
CVNA,"5",< 1%,BUY,"$326.09","-16.91","-4.93%","$1,630.45","$144.15","9.70%","N/A"
DIS,"20",< 1%,BUY,"$121.95","-0.99","-0.81%","$2,439.00","$211.60","9.50%","N/A"
FIVE,"420",3%,BUY,"$137.04","-2.33","-1.67%","$57,556.80","$10,648.20","22.70%","N/A"
FUBO,"3,000",< 1%,BUY,"$3.60","-0.03","-0.83%","$10,800.00","$1,401.92","14.92%","N/A"
GLW,"300",< 1%,BUY,"$55.72","-0.08","-0.14%","$16,716.00","$1,974.00","13.39%","N/A"
JPM,"120",2%,BUY,"$296.55","-0.21","-0.07%","$35,586.00","$4,111.20","13.06%","N/A"
KDP,"1,000",2%,BUY,"$33.57","0.07","0.21%","$33,570.00","$570.00","1.73%","N/A"
KHC,"85",< 1%,BUY,"$28.78","-0.16","-0.55%","$2,446.30","$107.10","4.58%","N/A"
LLY,"10",< 1%,BUY,"$805.43","6.54","0.82%","$8,054.30","-$161.00","-1.96%","N/A"
MANU,"1,000",< 1%,BUY,"$17.96","-0.21","-1.16%","$17,960.00","$3,575.00","24.85%","N/A"
MCD,"582",8%,BUY,"$294.48","-3.64","-1.22%","$171,387.36","$5,022.66","3.02%","N/A"
META,"20",< 1%,BUY,"$714.80","1.22","0.17%","$14,296.00","$1,071.80","8.10%","N/A"
MO,"120",< 1%,BUY,"$59.61","-0.16","-0.27%","$7,153.20","$394.51","5.84%","N/A"
MS,"1,705",12%,BUY,"$142.50","0.29","0.20%","$242,962.50","$11,876.73","5.14%","N/A"
MSFT,"100",2%,BUY,"$510.88","5.01","0.99%","$51,088.00","$6,261.00","13.97%","N/A"
NOW,"100",5%,BUY,"$996.18","39.75","4.16%","$99,618.00","-$4,232.00","-4.08%","N/A"
NVDA,"2,523",21%,BUY,"$173.74","2.96","1.73%","$438,346.02","$44,538.54","11.31%","N/A"
QBTS,"3,514",3%,BUY,"$19.76","-0.54","-2.66%","$69,436.64","$421.68","0.61%","N/A"
RBLX,"320",2%,BUY,"$118.12","-0.51","-0.43%","$37,798.40","$5,881.35","18.43%","N/A"
SCHW,"300",1%,BUY,"$96.50","1.35","1.42%","$28,950.00","$3,214.50","12.49%","N/A"
SMCI,"3,869",10%,BUY,"$52.52","0.82","1.59%","$203,199.88","$21,294.65","11.71%","N/A"
SNOW,"73",< 1%,BUY,"$215.02","2.46","1.16%","$15,696.46","$1,774.40","12.75%","N/A"
T,"1,000",1%,BUY,"$27.92","0.17","0.61%","$27,920.00","$1,460.00","5.52%","N/A"
TSLA,"100",1%,BUY,"$305.30","-27.26","-8.20%","$30,530.00","-$3,834.00","-11.16%","N/A"
TSM,"50",< 1%,BUY,"$241.60","1.27","0.53%","$12,080.00","$2,316.00","23.72%","N/A"
VEA,"324",< 1%,BUY,"$58.08","-0.42","-0.72%","$18,817.92","$513.54","2.81%","N/A"
VZ,"100",< 1%,BUY,"$43.08","0.24","0.56%","$4,308.00","-$61.00","-1.40%","N/A"
W,"50",< 1%,BUY,"$63.07","0.24","0.38%","$3,153.50","$1,234.00","64.29%","N/A"
WMT,"10",< 1%,BUY,"$96.60","0.92","0.96%","$966.00","$0.75","0.08%","N/A"
XOM,"100",< 1%,BUY,"$110.79","0.86","0.78%","$11,079.00","$203.50","1.87%","N/A"
