Symbol,Shares,% Holdings,Type,Price,Price Change,Price Change %,Value,Value Gain/Loss,Value Gain/Loss %,Players Holding
ACDVF,"1,750",2%,BUY,"$16.05","-0.23","-1.44%","$28,091.00","-$924.00","-3.18%","N/A"
AI,"800",1%,BUY,"$26.00","-3.16","-10.84%","$20,800.00","$2,100.00","11.23%","N/A"
AMD,"100",< 1%,BUY,"$162.12","3.47","2.19%","$16,212.00","$488.00","3.10%","N/A"
AVGO,"350",6%,BUY,"$288.71","5.02","1.77%","$101,048.50","$10,135.13","11.15%","N/A"
BBW,"1,000",3%,BUY,"$50.85","-4.14","-7.53%","$50,850.00","-$1,020.00","-1.97%","N/A"
BITF,"110,000",8%,BUY,"$1.23","-0.04","-3.15%","$135,300.00","$17,399.00","14.76%","N/A"
BRVMF,"12,500",2%,BUY,"$2.69","-0.01","-0.37%","$33,625.00","$7,625.00","29.33%","N/A"
BYON,"3,000",2%,BUY,"$10.79","-0.54","-4.77%","$32,370.00","$12,073.80","59.49%","N/A"
COIN,"60",1%,BUY,"$396.70","-1.11","-0.28%","$23,802.00","-$1,218.01","-4.87%","N/A"
CONL,"300",< 1%,BUY,"$57.72","-0.34","-0.59%","$17,316.00","-$1,847.07","-9.64%","N/A"
COST,"75",4%,BUY,"$933.80","-7.39","-0.79%","$70,035.00","-$7,044.38","-9.14%","N/A"
CRSR,"5,000",3%,BUY,"$9.32","-0.34","-3.52%","$46,600.00","$5,500.00","13.38%","N/A"
CWH,"1,500",2%,BUY,"$17.98","-1.13","-5.91%","$26,970.00","-$832.50","-2.99%","N/A"
DAPP,"200",< 1%,BUY,"$18.64","-0.13","-0.69%","$3,728.00","$616.00","19.79%","N/A"
DIS,"100",< 1%,BUY,"$121.95","-0.99","-0.81%","$12,195.00","$1,197.50","10.89%","N/A"
ELF,"350",2%,BUY,"$119.22","1.56","1.33%","$41,727.00","$5,468.38","15.08%","N/A"
F,"1,500",< 1%,BUY,"$11.26","-0.12","-1.05%","$16,890.00","$1,170.00","7.44%","N/A"
HOOD,"200",1%,BUY,"$101.93","-0.15","-0.15%","$20,386.00","$7,386.00","56.82%","N/A"
IJT,"500",4%,BUY,"$135.07","-2.02","-1.47%","$67,535.00","$3,925.00","6.17%","N/A"
LGL,"5,000",2%,BUY,"$7.75","0.22","2.92%","$38,750.00","$4,201.00","12.16%","N/A"
LUV,"300",< 1%,BUY,"$33.26","-4.18","-11.16%","$9,978.00","$153.75","1.57%","N/A"
MMTM,"110",2%,BUY,"$271.87","1.11","0.41%","$29,905.70","$1,076.74","3.73%","N/A"
MSFT,"50",1%,BUY,"$510.88","5.01","0.99%","$25,544.00","$2,577.00","11.22%","N/A"
MTUM,"160",2%,BUY,"$239.60","-0.76","-0.32%","$38,336.00","$502.40","1.33%","N/A"
NVDA,"450",4%,BUY,"$173.74","2.96","1.73%","$78,183.00","$18,110.25","30.15%","N/A"
OKUR,"11,500",2%,BUY,"$2.37","-0.01","-0.42%","$27,255.00","-$2,300.00","-7.78%","N/A"
OPEN,"29,883",4%,BUY,"$2.42","0.13","5.68%","$72,316.86","-$30,168.92","-29.44%","N/A"
RKLB,"300",< 1%,BUY,"$48.13","-1.02","-2.08%","$14,439.00","$5,517.66","61.85%","N/A"
SHEL,"400",2%,BUY,"$72.38","-0.38","-0.52%","$28,952.00","$2,268.00","8.50%","N/A"
SOFX,"1,500",2%,BUY,"$27.83","-0.13","-0.46%","$41,745.00","$1,057.35","2.60%","N/A"
SSII,"3,500",1%,BUY,"$7.20","0.35","5.11%","$25,200.00","-$3,220.00","-11.33%","N/A"
SSY,"25,000",2%,BUY,"$1.23","0.04","3.36%","$30,750.00","$1,502.50","5.14%","N/A"
TFPM,"1,500",2%,BUY,"$23.61","-0.23","-0.96%","$35,415.00","-$1,243.50","-3.39%","N/A"
TNGX,"5,000",2%,BUY,"$6.75","-0.13","-1.89%","$33,750.00","$2,600.00","8.35%","N/A"
UBER,"500",3%,BUY,"$90.87","0.93","1.03%","$45,435.00","-$1,336.90","-2.86%","N/A"
V,"50",< 1%,BUY,"$353.97","-1.32","-0.37%","$17,698.50","-$181.50","-1.02%","N/A"
VEA,"500",2%,BUY,"$58.08","-0.42","-0.72%","$29,040.00","$1,710.00","6.26%","N/A"
VST,"200",2%,BUY,"$196.24","-3.88","-1.94%","$39,248.00","-$94.00","-0.24%","N/A"
VTI,"150",3%,BUY,"$312.25","-0.16","-0.05%","$46,837.50","$3,883.50","9.04%","N/A"
WMT,"1,000",5%,BUY,"$96.60","0.92","0.96%","$96,600.00","$90.00","0.09%","N/A"
WPM,"550",3%,BUY,"$94.01","-0.94","-0.99%","$51,705.50","$2,920.50","5.99%","N/A"
XFOR,"35,000",4%,BUY,"$1.83","0.33","22.00%","$64,050.00","$14,367.50","28.92%","N/A"
ZION,"500",2%,BUY,"$55.18","-1.36","-2.41%","$27,590.00","$4,375.00","18.85%","N/A"
