Symbol,Shares,% Holdings,Type,Price,Price Change,Price Change %,Value,Value Gain/Loss,Value Gain/Loss %,Players Holding
AMD,"945",6%,BUY,"$162.12","3.47","2.19%","$153,203.40","$3,472.88","2.32%","N/A"
BTC,"2,000",4%,BUY,"$52.77","0.28","0.53%","$105,540.00","$3,625.00","3.56%","N/A"
CEG,"250",3%,BUY,"$321.67","-2.03","-0.63%","$80,417.50","-$832.50","-1.02%","N/A"
COST,"10",< 1%,BUY,"$933.80","-7.39","-0.79%","$9,338.00","-$903.38","-8.82%","N/A"
DASH,"100",< 1%,BUY,"$243.69","3.13","1.30%","$24,369.00","$2,948.50","13.76%","N/A"
DELL,"200",< 1%,BUY,"$128.35","1.13","0.89%","$25,670.00","$3,183.25","14.16%","N/A"
DXYZ,"0.03",< 1%,BUY,"$32.20","-0.10","-0.31%","$0.91","-$0.19","-17.65%","N/A"
EADSF,"200",2%,BUY,"$217.00","-2.50","-1.14%","$43,400.00","$2,055.00","4.97%","N/A"
INTU,"605",17%,BUY,"$781.21","5.21","0.67%","$472,632.05","$20,666.93","4.57%","N/A"
JPST,"3,827",7%,BUY,"$50.62","0.01","0.01%","$193,703.61","$303.00","0.16%","N/A"
META,"510",13%,BUY,"$714.80","1.22","0.17%","$364,548.00","$13,776.92","3.93%","N/A"
MSFT,"175",3%,BUY,"$510.88","5.01","0.99%","$89,404.00","$9,697.75","12.17%","N/A"
NET,"650",5%,BUY,"$191.58","2.43","1.28%","$124,527.00","$7,997.50","6.86%","N/A"
NVDA,"1,500",9%,BUY,"$173.74","2.96","1.73%","$260,610.00","$5,209.50","2.04%","N/A"
OXY,"7,500",12%,BUY,"$44.63","0.19","0.43%","$334,725.00","$1,362.50","0.41%","N/A"
QBTS,"6,000",4%,BUY,"$19.76","-0.54","-2.66%","$118,560.00","-$625.50","-0.52%","N/A"
ROKU,"1,000",3%,BUY,"$90.05","-0.20","-0.22%","$90,050.00","-$300.00","-0.33%","N/A"
RTX,"200",1%,BUY,"$155.22","-1.27","-0.81%","$31,044.00","$1,308.68","4.40%","N/A"
SPOT,"50",1%,BUY,"$681.42","6.96","1.03%","$34,071.00","$1,639.25","5.05%","N/A"
WBD,"9,600",5%,BUY,"$13.50","0.19","1.43%","$129,600.00","$13,779.00","11.90%","N/A"
WMT,"250",< 1%,BUY,"$96.60","0.92","0.96%","$24,150.00","$580.00","2.46%","N/A"
