Symbol,Shares,% Holdings,Type,Price,Price Change,Price Change %,Value,Value Gain/Loss,Value Gain/Loss %,Players Holding
AAPL,"110",1%,BUY,"$215.04","0.89","0.41%","$23,653.85","$1,902.45","8.75%","N/A"
ACMR,"1,150",1%,BUY,"$29.94","-0.26","-0.84%","$34,425.25","$6,175.25","21.86%","N/A"
AMD,"610",4%,BUY,"$162.61","3.96","2.50%","$99,192.10","$28,103.30","39.53%","N/A"
AMDL,"2,950",1%,BUY,"$10.99","0.53","5.05%","$32,416.67","$5,807.67","21.83%","N/A"
AMZN,"145",1%,BUY,"$232.00","3.71","1.63%","$33,640.00","$3,470.58","11.50%","N/A"
APP,"65",1%,BUY,"$362.96","0.84","0.23%","$23,592.40","$1,232.40","5.51%","N/A"
AVGO,"190",2%,BUY,"$289.62","5.93","2.09%","$55,026.85","$13,676.25","33.07%","N/A"
BA,"240",2%,BUY,"$233.66","-0.22","-0.09%","$56,078.40","$6,324.00","12.71%","N/A"
BKNG,"4",< 1%,BUY,"$5,710.24","-26.09","-0.45%","$22,840.94","$1,650.98","7.79%","N/A"
COST,"70",3%,BUY,"$935.89","-5.30","-0.56%","$65,512.62","-$5,119.89","-7.25%","N/A"
CRM,"110",1%,BUY,"$266.49","-0.73","-0.27%","$29,313.90","$319.00","1.10%","N/A"
CRWV,"630",3%,BUY,"$122.06","-3.99","-3.16%","$76,900.19","-$15,797.60","-17.04%","N/A"
CVS,"300",< 1%,BUY,"$59.74","-2.11","-3.41%","$17,922.00","-$2,170.50","-10.80%","N/A"
CVX,"180",1%,BUY,"$155.62","2.50","1.63%","$28,011.60","$2,793.60","11.08%","N/A"
DAL,"1,180",3%,BUY,"$55.34","-0.64","-1.14%","$65,301.20","$4,587.20","7.56%","N/A"
DIS,"195",1%,BUY,"$122.60","-0.34","-0.28%","$23,906.77","$3,632.62","17.92%","N/A"
GD,"95",1%,BUY,"$315.83","-1.11","-0.35%","$30,003.85","$3,729.98","14.20%","N/A"
HD,"30",< 1%,BUY,"$374.22","-2.13","-0.57%","$11,226.60","$394.80","3.64%","N/A"
HNGE,"720",1%,BUY,"$45.90","-1.15","-2.44%","$33,048.00","$3,393.72","11.44%","N/A"
IBM,"80",< 1%,BUY,"$261.04","-20.97","-7.44%","$20,883.20","$484.00","2.37%","N/A"
JNJ,"130",< 1%,BUY,"$169.21","0.11","0.07%","$21,997.30","$2,146.95","10.82%","N/A"
KO,"580",2%,BUY,"$69.13","-0.04","-0.05%","$40,092.50","-$1,426.50","-3.44%","N/A"
LMT,"43",< 1%,BUY,"$424.27","4.88","1.16%","$18,243.61","-$2,080.77","-10.24%","N/A"
LOW,"185",2%,BUY,"$227.06","-1.55","-0.68%","$42,005.34","$212.09","0.51%","N/A"
LPX,"220",< 1%,BUY,"$88.40","-0.76","-0.86%","$19,447.23","-$459.47","-2.31%","N/A"
LUV,"750",1%,BUY,"$33.34","-4.11","-10.96%","$25,001.25","$1,957.50","8.49%","N/A"
MAR,"75",< 1%,BUY,"$274.00","0.49","0.18%","$20,550.00","$1,350.75","7.04%","N/A"
MELI,"15",2%,BUY,"$2,388.66","-5.78","-0.24%","$35,829.83","-$750.08","-2.05%","N/A"
META,"35",1%,BUY,"$716.57","2.99","0.42%","$25,079.78","$3,859.80","18.19%","N/A"
MTZ,"320",2%,BUY,"$182.54","0.15","0.08%","$58,411.20","$8,936.00","18.06%","N/A"
MU,"245",1%,BUY,"$112.09","2.26","2.06%","$27,462.05","$6,820.80","33.04%","N/A"
NEE,"280",< 1%,BUY,"$71.72","-1.10","-1.51%","$20,081.60","$817.60","4.24%","N/A"
NOC,"40",< 1%,BUY,"$572.29","3.79","0.67%","$22,891.60","$3,388.20","17.37%","N/A"
NVDA,"950",7%,BUY,"$173.71","2.93","1.71%","$165,023.17","$27,423.75","19.93%","N/A"
NVO,"440",1%,BUY,"$70.59","0.56","0.80%","$31,059.60","$631.40","2.08%","N/A"
ORCL,"385",4%,BUY,"$243.34","1.44","0.60%","$93,685.90","$20,714.65","28.39%","N/A"
PANW,"110",< 1%,BUY,"$199.81","0.59","0.29%","$21,978.55","$1,847.45","9.18%","N/A"
PEP,"230",1%,BUY,"$144.41","-1.25","-0.86%","$33,214.30","$3,038.30","10.07%","N/A"
PLTR,"1,815",12%,BUY,"$154.97","0.34","0.22%","$281,270.55","$35,373.40","14.39%","N/A"
PRIM,"650",3%,BUY,"$90.65","0.99","1.10%","$58,922.50","$9,061.00","18.17%","N/A"
RBLX,"804",4%,BUY,"$118.79","0.16","0.13%","$95,507.16","$14,969.91","18.59%","N/A"
ROAD,"450",2%,BUY,"$103.84","-0.48","-0.46%","$46,728.00","-$1,144.00","-2.39%","N/A"
SHOP,"440",2%,BUY,"$122.01","-0.20","-0.16%","$53,684.40","$3,737.80","7.48%","N/A"
SWK,"350",1%,BUY,"$72.71","-1.38","-1.86%","$25,448.50","$594.76","2.39%","N/A"
TDOC,"4,400",2%,BUY,"$8.27","-0.32","-3.67%","$36,366.00","$5,214.44","16.74%","N/A"
TOST,"200",< 1%,BUY,"$47.98","0.55","1.16%","$9,595.74","$199.34","2.12%","N/A"
TSLA,"146",2%,BUY,"$303.14","-29.43","-8.85%","$44,257.71","$148.19","0.34%","N/A"
U,"1,250",2%,BUY,"$33.61","0.20","0.60%","$42,012.50","$11,050.00","35.69%","N/A"
UAL,"120",< 1%,BUY,"$90.90","0.47","0.52%","$10,908.30","-$117.90","-1.07%","N/A"
UL,"320",< 1%,BUY,"$60.99","0.11","0.17%","$19,515.20","-$743.20","-3.67%","N/A"
VEEV,"25",< 1%,BUY,"$291.29","5.28","1.85%","$7,282.25","$248.88","3.54%","N/A"
VZ,"465",< 1%,BUY,"$42.99","0.15","0.34%","$19,988.03","-$155.78","-0.77%","N/A"
WMT,"515",2%,BUY,"$96.61","0.93","0.97%","$49,754.15","$1,199.95","2.47%","N/A"
WY,"785",< 1%,BUY,"$25.49","-0.48","-1.83%","$20,005.73","-$361.10","-1.77%","N/A"
XOM,"115",< 1%,BUY,"$110.66","0.73","0.66%","$12,725.90","$501.40","4.10%","N/A"
