Symbol,Shares,% Holdings,Type,Price,Price Change,Price Change %,Value,Value Gain/Loss,Value Gain/Loss %,Players Holding
AAPL,"1,104",11%,BUY,"$213.76","-0.39","-0.18%","$235,991.04","$3,650.19","1.57%","N/A"
ABBV,"10",< 1%,BUY,"$190.83","0.28","0.15%","$1,908.30","$14.90","0.79%","N/A"
AMD,"50",< 1%,BUY,"$162.12","3.47","2.19%","$8,106.00","$2,255.00","38.54%","N/A"
AMZN,"761",8%,BUY,"$232.23","3.94","1.73%","$176,727.03","$16,095.15","10.02%","N/A"
ANGO,"91",< 1%,BUY,"$9.11","-0.10","-1.09%","$829.01","-$188.37","-18.52%","N/A"
AVGO,"20",< 1%,BUY,"$288.71","5.02","1.77%","$5,774.20","$453.20","8.52%","N/A"
AXP,"15",< 1%,BUY,"$308.25","-0.41","-0.13%","$4,623.75","-$3.75","-0.08%","N/A"
BABA,"25",< 1%,BUY,"$121.15","-1.43","-1.17%","$3,028.75","-$126.50","-4.01%","N/A"
BAX,"30",< 1%,BUY,"$28.77","0.21","0.74%","$863.10","-$86.70","-9.13%","N/A"
BP,"458",< 1%,BUY,"$32.13","-0.58","-1.77%","$14,715.54","-$329.76","-2.19%","N/A"
BRK.B,"60",1%,BUY,"$480.60","-2.03","-0.42%","$28,836.00","-$1,317.75","-4.37%","N/A"
CAT,"75",2%,BUY,"$429.52","1.93","0.45%","$32,214.00","$5,954.63","22.68%","N/A"
COST,"49",2%,BUY,"$933.80","-7.39","-0.79%","$45,756.20","-$3,915.84","-7.88%","N/A"
DASH,"100",1%,BUY,"$243.69","3.13","1.30%","$24,369.00","$3,862.50","18.84%","N/A"
DIS,"643",4%,BUY,"$121.95","-0.99","-0.81%","$78,413.85","$6,167.10","8.54%","N/A"
DKNG,"1,687",4%,BUY,"$44.04","-0.78","-1.74%","$74,295.48","$10,358.18","16.20%","N/A"
ELF,"562",3%,BUY,"$119.22","1.56","1.33%","$67,001.64","$1,846.64","2.83%","N/A"
ELFTX,"143.16",< 1%,BUY,"$9.53","0.00","0.00%","$1,364.27","-$1.43","-0.10%","N/A"
ESLT,"70",2%,BUY,"$450.29","4.32","0.97%","$31,520.30","$4,338.60","15.96%","N/A"
FSLR,"20",< 1%,BUY,"$180.72","0.95","0.53%","$3,614.40","$574.40","18.89%","N/A"
GIS,"900",2%,BUY,"$50.95","-0.32","-0.62%","$45,855.00","-$3,411.00","-6.92%","N/A"
GS,"50",2%,BUY,"$719.18","1.66","0.23%","$35,959.00","$5,434.00","17.80%","N/A"
INTC,"1,000",1%,BUY,"$22.63","-0.86","-3.66%","$22,630.00","$1,440.00","6.80%","N/A"
JNJ,"100",< 1%,BUY,"$169.56","0.46","0.27%","$16,956.00","$2,134.00","14.40%","N/A"
JPM,"25",< 1%,BUY,"$296.55","-0.21","-0.07%","$7,413.75","$739.50","11.08%","N/A"
KO,"1,000",3%,BUY,"$69.10","-0.06","-0.09%","$69,100.00","-$580.00","-0.83%","N/A"
LLYVA,"1,000",4%,BUY,"$82.48","-0.03","-0.04%","$82,480.00","$7,130.00","9.46%","N/A"
MCD,"50",< 1%,BUY,"$294.48","-3.64","-1.22%","$14,724.00","-$666.00","-4.33%","N/A"
MDLZ,"1,436",5%,BUY,"$70.18","0.01","0.01%","$100,778.48","$6,892.80","7.34%","N/A"
META,"150",5%,BUY,"$714.80","1.22","0.17%","$107,220.00","$10,089.00","10.39%","N/A"
MSFT,"100",2%,BUY,"$510.88","5.01","0.99%","$51,088.00","$6,011.50","13.34%","N/A"
MU,"20",< 1%,BUY,"$111.73","1.90","1.73%","$2,234.60","-$297.60","-11.75%","N/A"
NEE,"250",< 1%,BUY,"$71.97","-0.85","-1.17%","$17,992.50","-$272.50","-1.49%","N/A"
NFLX,"40",2%,BUY,"$1,180.76","3.98","0.34%","$47,230.40","$2,652.00","5.95%","N/A"
NKE,"100",< 1%,BUY,"$75.42","-1.33","-1.73%","$7,542.00","$1,478.50","24.38%","N/A"
NSANY,"3,000",< 1%,BUY,"$4.56","0.00","0.00%","$13,680.00","-$450.00","-3.18%","N/A"
NVDA,"1,500",12%,BUY,"$173.74","2.96","1.73%","$260,610.00","$63,830.00","32.44%","N/A"
PEP,"250",2%,BUY,"$144.51","-1.15","-0.79%","$36,127.50","$3,830.00","11.86%","N/A"
PG,"70",< 1%,BUY,"$158.81","0.53","0.33%","$11,116.70","-$197.60","-1.75%","N/A"
PLTR,"150",1%,BUY,"$154.86","0.23","0.15%","$23,229.00","$2,891.00","14.21%","N/A"
QCOM,"20",< 1%,BUY,"$158.84","-1.04","-0.65%","$3,176.80","$57.00","1.83%","N/A"
SOFI,"1,000",1%,BUY,"$21.51","-0.05","-0.23%","$21,510.00","$7,660.00","55.31%","N/A"
SOLV,"13",< 1%,BUY,"$73.93","-0.47","-0.63%","$961.09","-$15.99","-1.64%","N/A"
SXTC,"13,267",1%,BUY,"$1.61","-0.08","-4.73%","$21,359.87","-$1,990.05","-8.52%","N/A"
TEM,"700",2%,BUY,"$63.34","-1.52","-2.34%","$44,338.00","-$920.50","-2.03%","N/A"
TGT,"301",2%,BUY,"$105.82","-1.61","-1.50%","$31,851.82","-$500.26","-1.55%","N/A"
TSLA,"325",5%,BUY,"$305.30","-27.26","-8.20%","$99,222.50","-$10,221.06","-9.34%","N/A"
TXN,"10",< 1%,BUY,"$185.69","-0.56","-0.30%","$1,856.90","-$176.20","-8.67%","N/A"
TYIDY,"147",< 1%,SHORT,"$110.31","-1.97","-1.75%","$16,215.57","$307.23","1.86%","N/A"
UPS,"100",< 1%,BUY,"$102.53","-1.00","-0.97%","$10,253.00","$263.00","2.63%","N/A"
V,"30",< 1%,BUY,"$353.97","-1.32","-0.37%","$10,619.10","-$87.60","-0.82%","N/A"
