Symbol,Shares,% Holdings,Type,Price,Price Change,Price Change %,Value,Value Gain/Loss,Value Gain/Loss %,Players Holding
AAPL,"120",1%,BUY,"$213.76","-0.39","-0.18%","$25,651.20","$1,489.20","6.16%","N/A"
AMZN,"100",1%,BUY,"$232.23","3.94","1.73%","$23,223.00","$2,760.20","13.49%","N/A"
ASML,"33",1%,BUY,"$725.08","8.15","1.14%","$23,927.64","-$244.86","-1.01%","N/A"
BA,"600",6%,BUY,"$231.27","-2.61","-1.12%","$138,762.00","$17,924.50","14.83%","N/A"
BSX,"234",1%,BUY,"$106.21","-1.55","-1.44%","$24,853.14","-$7.02","-0.03%","N/A"
BUD,"364",1%,BUY,"$70.09","-0.43","-0.61%","$25,512.76","$584.22","2.34%","N/A"
BX,"171",1%,BUY,"$178.11","6.15","3.58%","$30,456.81","$6,754.50","28.50%","N/A"
C,"328",1%,BUY,"$95.39","-0.60","-0.63%","$31,287.92","$6,474.72","26.09%","N/A"
COST,"25",1%,BUY,"$933.80","-7.39","-0.79%","$23,345.00","-$2,405.25","-9.34%","N/A"
CRWD,"100",2%,BUY,"$462.03","0.51","0.11%","$46,203.00","-$1,850.50","-3.85%","N/A"
CRWV,"450",2%,BUY,"$120.00","-6.05","-4.80%","$54,000.00","$3,380.50","6.68%","N/A"
CVX,"580",4%,BUY,"$155.83","2.71","1.77%","$90,381.40","$5,992.00","7.10%","N/A"
DG,"150",< 1%,BUY,"$107.75","-1.49","-1.36%","$16,162.50","$1,009.50","6.66%","N/A"
DIS,"300",2%,BUY,"$121.95","-0.99","-0.81%","$36,585.00","$907.50","2.54%","N/A"
ESLT,"50",1%,BUY,"$450.29","4.32","0.97%","$22,514.50","-$210.00","-0.92%","N/A"
GE,"106",1%,BUY,"$268.01","4.83","1.84%","$28,409.06","$2,180.42","8.31%","N/A"
GEO,"720",< 1%,BUY,"$24.55","0.88","3.72%","$17,676.00","-$1,764.00","-9.07%","N/A"
GLD,"70",< 1%,BUY,"$310.30","-1.88","-0.60%","$21,721.00","$791.70","3.78%","N/A"
GOOGL,"150",1%,BUY,"$192.17","1.94","1.02%","$28,825.50","$3,861.00","15.47%","N/A"
HEI,"70",1%,BUY,"$320.40","-1.06","-0.33%","$22,428.00","$2,857.40","14.60%","N/A"
INTC,"500",< 1%,BUY,"$22.63","-0.86","-3.66%","$11,315.00","$920.00","8.85%","N/A"
IQV,"174",2%,BUY,"$200.82","6.58","3.39%","$34,942.68","$10,829.76","44.91%","N/A"
JNJ,"164",1%,BUY,"$169.56","0.46","0.27%","$27,807.84","$2,428.84","9.57%","N/A"
JPM,"94",1%,BUY,"$296.55","-0.21","-0.07%","$27,875.70","$3,100.59","12.51%","N/A"
KO,"347",1%,BUY,"$69.10","-0.06","-0.09%","$23,977.70","-$927.88","-3.73%","N/A"
LC,"2,000",1%,BUY,"$13.17","-0.24","-1.79%","$26,340.00","$5,320.00","25.31%","N/A"
LDOS,"200",1%,BUY,"$163.25","-0.66","-0.40%","$32,650.00","$487.00","1.51%","N/A"
LHX,"80",< 1%,BUY,"$273.22","3.62","1.34%","$21,857.60","$721.60","3.41%","N/A"
LLY,"40",1%,BUY,"$805.43","6.54","0.82%","$32,217.20","$1,937.20","6.40%","N/A"
LMT,"60",1%,BUY,"$420.55","1.16","0.28%","$25,233.00","-$3,087.00","-10.90%","N/A"
MA,"50",1%,BUY,"$563.50","1.41","0.25%","$28,175.00","-$946.00","-3.25%","N/A"
META,"100",3%,BUY,"$714.80","1.22","0.17%","$71,480.00","$6,947.00","10.77%","N/A"
MRNA,"947",1%,BUY,"$34.01","-0.66","-1.90%","$32,207.47","$6,818.40","26.86%","N/A"
MSFT,"892",21%,BUY,"$510.88","5.01","0.99%","$455,704.96","$2,609.48","0.58%","N/A"
NNI,"175",< 1%,BUY,"$122.38","0.12","0.10%","$21,416.50","$574.00","2.75%","N/A"
NOC,"53",1%,BUY,"$568.48","-0.02","0.00%","$30,129.44","$4,491.49","17.52%","N/A"
NVDA,"150",1%,BUY,"$173.74","2.96","1.73%","$26,061.00","$5,917.50","29.38%","N/A"
OKLO,"450",2%,BUY,"$74.59","7.62","11.38%","$33,565.50","$9,531.00","39.66%","N/A"
ORCL,"150",2%,BUY,"$242.83","0.93","0.38%","$36,424.50","$12,661.95","53.29%","N/A"
PANW,"200",2%,BUY,"$201.16","1.94","0.97%","$40,232.00","$1,232.00","3.16%","N/A"
PEP,"190",1%,BUY,"$144.51","-1.15","-0.79%","$27,456.90","$2,637.20","10.63%","N/A"
PFE,"1,500",2%,BUY,"$25.35","-0.01","-0.04%","$38,025.00","$2,955.00","8.43%","N/A"
RBLX,"250",1%,BUY,"$118.12","-0.51","-0.43%","$29,530.00","$6,235.00","26.77%","N/A"
RTX,"100",< 1%,BUY,"$155.22","-1.27","-0.81%","$15,522.00","$648.00","4.36%","N/A"
SMR,"500",1%,BUY,"$51.03","3.18","6.65%","$25,515.00","$8,347.10","48.62%","N/A"
SNOW,"137",1%,BUY,"$215.02","2.46","1.16%","$29,457.74","$606.91","2.10%","N/A"
TSM,"129",1%,BUY,"$241.60","1.27","0.53%","$31,166.40","$6,424.20","25.96%","N/A"
TTE,"300",< 1%,BUY,"$60.44","-1.94","-3.11%","$18,132.00","-$516.00","-2.77%","N/A"
UPST,"800",3%,BUY,"$82.70","-1.43","-1.70%","$66,160.00","$19,162.00","40.77%","N/A"
V,"50",< 1%,BUY,"$353.97","-1.32","-0.37%","$17,698.50","-$685.25","-3.73%","N/A"
VUSB,"503",1%,BUY,"$49.80","0.00","0.00%","$25,046.89","$47.68","0.19%","N/A"
WFG,"239",< 1%,BUY,"$70.95","-4.49","-5.95%","$16,957.05","-$689.52","-3.91%","N/A"
WMT,"516",2%,BUY,"$96.60","0.92","0.96%","$49,845.60","-$1,057.80","-2.08%","N/A"
XOM,"250",1%,BUY,"$110.79","0.86","0.78%","$27,697.50","$1,997.50","7.77%","N/A"
ZS,"50",< 1%,BUY,"$284.30","0.93","0.33%","$14,215.00","-$421.00","-2.88%","N/A"
