Symbol,Shares,% Holdings,Type,Price,Price Change,Price Change %,Value,Value Gain/Loss,Value Gain/Loss %,Players Holding
ABNB,"599",3%,BUY,"$141.26","1.43","1.02%","$84,614.74","$9,763.70","13.04%","N/A"
ADBE,"1",< 1%,BUY,"$372.59","0.13","0.03%","$372.59","-$13.60","-3.52%","N/A"
AMZN,"1",< 1%,BUY,"$232.34","4.05","1.77%","$232.34","$25.49","12.32%","N/A"
AZN,"1",< 1%,BUY,"$73.75","0.75","1.03%","$73.75","$5.79","8.52%","N/A"
BABA,"1",< 1%,BUY,"$121.30","-1.28","-1.04%","$121.30","$0.05","0.04%","N/A"
BRK.B,"1",< 1%,BUY,"$484.62","1.99","0.41%","$484.62","-$23.87","-4.69%","N/A"
COST,"1",< 1%,BUY,"$937.49","-3.70","-0.39%","$937.49","-$67.12","-6.68%","N/A"
CRWD,"1",< 1%,BUY,"$463.05","1.53","0.33%","$463.05","$28.02","6.44%","N/A"
CWH,"1",< 1%,BUY,"$18.23","-0.88","-4.60%","$18.23","$2.85","18.49%","N/A"
DDOG,"300",2%,BUY,"$145.87","1.87","1.30%","$43,761.09","$8,440.59","23.90%","N/A"
DHR,"1",< 1%,BUY,"$203.70","5.81","2.94%","$203.70","$0.20","0.10%","N/A"
EXR,"1",< 1%,BUY,"$150.72","-0.26","-0.17%","$150.72","$2.77","1.87%","N/A"
GAMR,"646",2%,BUY,"$86.98","1.25","1.46%","$56,189.08","$7,015.43","14.27%","N/A"
GLD,"1,274",14%,BUY,"$310.21","-1.98","-0.63%","$395,201.17","-$3,433.43","-0.86%","N/A"
GOOGL,"661",4%,BUY,"$192.91","2.68","1.41%","$127,513.51","$25,660.02","25.19%","N/A"
HD,"1",< 1%,BUY,"$373.78","-2.57","-0.68%","$373.78","$10.28","2.83%","N/A"
JPM,"1",< 1%,BUY,"$298.89","2.13","0.72%","$298.89","$35.33","13.40%","N/A"
KKR,"1",< 1%,BUY,"$151.01","2.75","1.85%","$151.01","$10.01","7.10%","N/A"
KMI,"1",< 1%,BUY,"$27.12","0.31","1.14%","$27.12","-$0.21","-0.75%","N/A"
LLY,"1",< 1%,BUY,"$807.37","8.48","1.06%","$807.37","$95.92","13.48%","N/A"
LMT,"1",< 1%,BUY,"$424.12","4.73","1.13%","$424.12","-$41.69","-8.95%","N/A"
LOW,"1",< 1%,BUY,"$227.10","-1.51","-0.66%","$227.10","$2.82","1.26%","N/A"
LYFT,"1",< 1%,BUY,"$14.50","-0.24","-1.60%","$14.50","-$0.69","-4.52%","N/A"
MAR,"1",< 1%,BUY,"$273.74","0.23","0.08%","$273.74","$14.63","5.65%","N/A"
NVDA,"3,710",22%,BUY,"$173.39","2.61","1.53%","$643,269.11","$124,451.66","23.99%","N/A"
PG,"1",< 1%,BUY,"$158.68","0.40","0.25%","$158.68","$0.62","0.39%","N/A"
POOL,"1",< 1%,BUY,"$320.00","3.15","0.99%","$320.00","$18.17","6.02%","N/A"
RIO,"1",< 1%,BUY,"$63.96","-0.66","-1.02%","$63.96","$5.47","9.35%","N/A"
SBUX,"960",3%,BUY,"$93.65","-2.28","-2.37%","$89,899.20","$10,785.60","13.63%","N/A"
SKYW,"419",2%,BUY,"$109.78","-3.68","-3.24%","$45,997.82","$3,783.57","8.96%","N/A"
SMH,"1,406",14%,BUY,"$287.80","1.19","0.42%","$404,646.80","-$5,469.34","-1.33%","N/A"
SN,"529",2%,BUY,"$118.24","-1.23","-1.03%","$62,546.32","$13,148.30","26.62%","N/A"
SPOT,"75",2%,BUY,"$689.39","14.93","2.21%","$51,704.25","$3,079.50","6.33%","N/A"
TGT,"1",< 1%,BUY,"$106.05","-1.39","-1.29%","$106.05","$8.55","8.78%","N/A"
WELL,"1",< 1%,BUY,"$161.98","0.35","0.21%","$161.98","$8.67","5.65%","N/A"
WEN,"1",< 1%,BUY,"$10.91","-0.41","-3.59%","$10.91","-$1.16","-9.61%","N/A"
WMT,"1",< 1%,BUY,"$96.67","0.99","1.03%","$96.67","-$0.20","-0.20%","N/A"
XLC,"3,701",14%,BUY,"$109.12","0.67","0.62%","$403,853.12","$5,736.55","1.44%","N/A"
XLK,"1,551",14%,BUY,"$261.54","1.25","0.48%","$405,648.54","-$853.05","-0.21%","N/A"
ZION,"809",2%,BUY,"$55.78","-0.76","-1.34%","$45,126.02","$7,192.01","18.96%","N/A"
