Symbol,Shares,% Holdings,Type,Price,Price Change,Price Change %,Value,Value Gain/Loss,Value Gain/Loss %,Players Holding
AMZN,"133",3%,BUY,"$232.23","3.94","1.73%","$30,886.59","$5,167.72","20.09%","N/A"
BA,"127",3%,BUY,"$231.27","-2.61","-1.12%","$29,371.29","$4,784.09","19.46%","N/A"
BP,"889",2%,BUY,"$32.13","-0.58","-1.77%","$28,563.57","$2,435.86","9.32%","N/A"
COIN,"95",3%,BUY,"$396.70","-1.11","-0.28%","$37,686.50","$8,865.40","30.76%","N/A"
COLM,"378",2%,BUY,"$60.44","-2.02","-3.23%","$22,846.32","-$1,905.12","-7.70%","N/A"
COST,"15",1%,BUY,"$933.80","-7.39","-0.79%","$14,007.00","-$1,062.15","-7.05%","N/A"
CYTK,"800",3%,BUY,"$37.31","-0.62","-1.63%","$29,848.00","$3,968.00","15.33%","N/A"
DASH,"5",< 1%,BUY,"$243.69","3.13","1.30%","$1,218.45","$302.50","33.03%","N/A"
EBAY,"357",3%,BUY,"$82.45","0.52","0.63%","$29,434.65","$4,266.15","16.95%","N/A"
ELF,"33",< 1%,BUY,"$119.22","1.56","1.33%","$3,934.26","$916.58","30.37%","N/A"
GME,"880",2%,BUY,"$23.53","-0.43","-1.79%","$20,706.40","-$2,877.60","-12.20%","N/A"
GOOG,"262",4%,BUY,"$193.20","1.69","0.88%","$50,618.40","$330.39","0.66%","N/A"
HLT,"94",2%,BUY,"$267.57","0.72","0.27%","$25,151.58","$2,520.14","11.14%","N/A"
HPE,"1,810",3%,BUY,"$20.51","-0.25","-1.20%","$37,123.10","$2,425.40","6.99%","N/A"
JPM,"121",3%,BUY,"$296.55","-0.21","-0.07%","$35,882.55","$988.09","2.83%","N/A"
LCUT,"418",< 1%,BUY,"$4.72","-0.15","-3.08%","$1,972.96","$652.08","49.37%","N/A"
LMT,"55",2%,BUY,"$420.55","1.16","0.28%","$23,130.25","-$3,071.20","-11.72%","N/A"
META,"76",5%,BUY,"$714.80","1.22","0.17%","$54,324.80","$4,613.43","9.28%","N/A"
MSFT,"58",3%,BUY,"$510.88","5.01","0.99%","$29,631.04","$4,094.80","16.04%","N/A"
MSTR,"61",2%,BUY,"$414.92","2.25","0.55%","$25,310.12","-$292.19","-1.14%","N/A"
NOG,"940",2%,BUY,"$28.74","0.67","2.39%","$27,015.60","-$498.20","-1.81%","N/A"
NTDOY,"1,200",2%,BUY,"$22.27","0.11","0.50%","$26,724.00","$2,160.00","8.79%","N/A"
NVAX,"8,503",6%,BUY,"$7.64","-0.20","-2.55%","$64,962.92","$4,081.44","6.70%","N/A"
NVDA,"982",15%,BUY,"$173.74","2.96","1.73%","$170,612.68","$29,837.40","21.20%","N/A"
NVS,"221",2%,BUY,"$117.46","-0.51","-0.43%","$25,958.66","$1,782.14","7.37%","N/A"
PFE,"1,101",2%,BUY,"$25.35","-0.01","-0.04%","$27,910.35","$3,137.85","12.67%","N/A"
PLTR,"417",6%,BUY,"$154.86","0.23","0.15%","$64,576.62","$14,909.84","30.02%","N/A"
RTX,"191",3%,BUY,"$155.22","-1.27","-0.81%","$29,647.02","$5,045.27","20.51%","N/A"
SHOP,"1",< 1%,BUY,"$122.08","-0.13","-0.11%","$122.08","$27.62","29.23%","N/A"
SMCI,"599",3%,BUY,"$52.52","0.82","1.59%","$31,459.48","-$314.48","-0.99%","N/A"
SPCE,"7,862",3%,BUY,"$4.32","-0.12","-2.70%","$33,963.84","$9,042.09","36.28%","N/A"
TM,"133",2%,BUY,"$191.66","-1.52","-0.79%","$25,490.78","$674.98","2.72%","N/A"
TSLA,"88",2%,BUY,"$305.30","-27.26","-8.20%","$26,866.40","$1,330.12","5.21%","N/A"
UAL,"292",2%,BUY,"$89.73","-0.70","-0.77%","$26,201.16","$2,817.80","12.05%","N/A"
UBER,"303",2%,BUY,"$90.87","0.93","1.03%","$27,533.61","$2,442.18","9.73%","N/A"
V,"62",2%,BUY,"$353.97","-1.32","-0.37%","$21,946.14","-$343.17","-1.54%","N/A"
WMT,"50",< 1%,BUY,"$96.60","0.92","0.96%","$4,830.00","-$13.00","-0.27%","N/A"
