Symbol,Shares,% Holdings,Type,Price,Price Change,Price Change %,Value,Value Gain/Loss,Value Gain/Loss %,Players Holding
AAPL,"50",< 1%,BUY,"$215.04","0.89","0.41%","$10,751.75","$602.00","5.93%","N/A"
ABT,"120",< 1%,BUY,"$125.18","-0.65","-0.52%","$15,021.60","-$1,347.40","-8.23%","N/A"
AMD,"574",4%,BUY,"$162.63","3.98","2.51%","$93,349.56","$25,854.94","38.31%","N/A"
AMZN,"10",< 1%,BUY,"$231.98","3.69","1.62%","$2,319.80","$386.05","19.96%","N/A"
ASB,"1,945",2%,BUY,"$25.71","-0.19","-0.73%","$50,005.95","$38.90","0.08%","N/A"
AVGO,"234",3%,BUY,"$289.70","6.01","2.12%","$67,789.43","$13,558.48","25.00%","N/A"
AXON,"15",< 1%,BUY,"$710.07","4.85","0.69%","$10,650.98","$155.82","1.48%","N/A"
BAC,"10",< 1%,BUY,"$48.90","0.76","1.57%","$488.95","$70.14","16.75%","N/A"
BEP,"3,514",4%,BUY,"$27.36","-0.22","-0.80%","$96,143.04","$6,713.50","7.51%","N/A"
BRK.B,"220",4%,BUY,"$482.01","-0.62","-0.13%","$106,042.20","-$946.00","-0.88%","N/A"
BTC,"2,938",7%,BUY,"$52.96","0.47","0.89%","$155,581.79","$16,555.63","11.91%","N/A"
CAH,"50",< 1%,BUY,"$158.45","0.69","0.43%","$7,922.25","$241.00","3.14%","N/A"
CMI,"303",5%,BUY,"$363.79","1.81","0.50%","$110,228.37","$9,603.35","9.54%","N/A"
COST,"10",< 1%,BUY,"$935.89","-5.30","-0.56%","$9,358.95","-$687.16","-6.84%","N/A"
CRM,"10",< 1%,BUY,"$266.53","-0.70","-0.26%","$2,665.25","-$149.75","-5.32%","N/A"
CVS,"816",2%,BUY,"$59.77","-2.08","-3.37%","$48,768.40","-$1,260.56","-2.52%","N/A"
ET,"3,432",3%,BUY,"$17.57","0.13","0.74%","$60,299.21","$496.61","0.83%","N/A"
FCNCA,"61",6%,BUY,"$2,144.37","-13.86","-0.64%","$130,806.57","$18,628.79","16.61%","N/A"
GOOGL,"267",2%,BUY,"$193.38","3.15","1.65%","$51,631.13","$6,050.71","13.27%","N/A"
GS,"103",3%,BUY,"$723.95","6.43","0.90%","$74,566.85","$3,491.19","4.91%","N/A"
HBM,"4,927",2%,BUY,"$10.12","-0.21","-1.99%","$49,836.61","-$98.54","-0.20%","N/A"
HD,"10",< 1%,BUY,"$374.22","-2.13","-0.57%","$3,742.20","$107.20","2.95%","N/A"
IAU,"3,000",8%,BUY,"$63.48","-0.43","-0.67%","$190,439.70","$4,668.30","2.51%","N/A"
JNJ,"10",< 1%,BUY,"$169.22","0.12","0.07%","$1,692.15","$137.85","8.87%","N/A"
JPM,"10",< 1%,BUY,"$298.81","2.05","0.69%","$2,988.09","$443.04","17.41%","N/A"
KO,"10",< 1%,BUY,"$69.13","-0.04","-0.05%","$691.25","-$19.25","-2.71%","N/A"
KOS,"8",< 1%,BUY,"$2.26","0.13","5.87%","$18.04","$4.28","31.11%","N/A"
LHX,"150",2%,BUY,"$276.11","6.51","2.41%","$41,416.50","$3,055.50","7.97%","N/A"
LMT,"50",< 1%,BUY,"$424.27","4.88","1.16%","$21,213.50","-$3,064.75","-12.62%","N/A"
LVS,"410",< 1%,BUY,"$50.97","2.28","4.68%","$20,897.70","$4,019.15","23.81%","N/A"
MA,"10",< 1%,BUY,"$566.31","4.22","0.75%","$5,663.10","-$21.90","-0.39%","N/A"
MCHP,"266",< 1%,BUY,"$68.25","-2.01","-2.85%","$18,153.17","$2,662.66","17.19%","N/A"
MCK,"45",1%,BUY,"$708.88","-5.12","-0.72%","$31,899.60","$276.30","0.87%","N/A"
META,"24",< 1%,BUY,"$716.57","2.99","0.42%","$17,197.56","$2,167.11","14.42%","N/A"
MRK,"10",< 1%,BUY,"$84.01","0.03","0.03%","$840.05","$60.25","7.73%","N/A"
MS,"662",4%,BUY,"$143.64","1.43","1.00%","$95,086.37","$2,194.53","2.36%","N/A"
MSFT,"10",< 1%,BUY,"$512.31","6.44","1.27%","$5,123.10","$720.30","16.36%","N/A"
NFLX,"10",< 1%,BUY,"$1,171.28","-5.51","-0.47%","$11,712.75","$239.15","2.08%","N/A"
NVDA,"481",4%,BUY,"$173.70","2.92","1.71%","$83,547.30","$18,128.99","27.71%","N/A"
ORCL,"257",3%,BUY,"$243.34","1.44","0.60%","$62,538.38","$10,813.97","20.91%","N/A"
OTIS,"50",< 1%,BUY,"$89.81","1.32","1.50%","$4,490.71","-$292.54","-6.12%","N/A"
OXY,"10",< 1%,BUY,"$44.35","-0.10","-0.21%","$443.45","$24.00","5.72%","N/A"
PEP,"10",< 1%,BUY,"$144.42","-1.24","-0.85%","$1,444.20","$130.75","9.95%","N/A"
PG,"10",< 1%,BUY,"$158.51","0.23","0.15%","$1,585.13","$4.53","0.29%","N/A"
PLTR,"626",4%,BUY,"$155.08","0.45","0.29%","$97,080.08","$6,394.59","7.05%","N/A"
QCOM,"10",< 1%,BUY,"$158.34","-1.54","-0.96%","$1,583.40","$126.30","8.67%","N/A"
RNR,"369",4%,BUY,"$238.45","1.20","0.51%","$87,988.05","-$2,536.88","-2.80%","N/A"
RTX,"200",1%,BUY,"$155.78","-0.71","-0.45%","$31,156.80","$2,170.30","7.49%","N/A"
SCI,"210",< 1%,BUY,"$75.96","-0.83","-1.08%","$15,951.60","-$704.10","-4.23%","N/A"
TSLA,"150",2%,BUY,"$303.18","-29.39","-8.84%","$45,476.25","-$2,391.00","-5.00%","N/A"
UHS,"309",2%,BUY,"$157.64","-7.19","-4.36%","$48,709.22","-$1,490.93","-2.97%","N/A"
V,"10",< 1%,BUY,"$356.44","1.15","0.32%","$3,564.40","$45.00","1.28%","N/A"
WAL,"759",3%,BUY,"$83.61","0.07","0.08%","$63,459.99","$8,531.16","15.53%","N/A"
WBS,"873",2%,BUY,"$61.11","-0.73","-1.18%","$53,349.03","$8,105.81","17.92%","N/A"
WMT,"10",< 1%,BUY,"$96.62","0.94","0.98%","$966.15","-$2.45","-0.25%","N/A"
XOM,"1,277",6%,BUY,"$110.65","0.72","0.65%","$141,300.05","-$778.97","-0.55%","N/A"
