Symbol,Shares,% Holdings,Type,Price,Price Change,Price Change %,Value,Value Gain/Loss,Value Gain/Loss %,Players Holding
AAPL,"350",4%,BUY,"$214.81","0.66","0.31%","$75,183.50","$2,775.50","3.83%","N/A"
ABBV,"1",< 1%,BUY,"$191.28","0.73","0.38%","$191.28","$14.27","8.06%","N/A"
ADBE,"1",< 1%,BUY,"$373.29","0.83","0.22%","$373.29","-$26.06","-6.53%","N/A"
AMD,"622",6%,BUY,"$162.11","3.46","2.18%","$100,832.48","$26,870.46","36.33%","N/A"
AMZN,"118",2%,BUY,"$232.21","3.92","1.72%","$27,400.78","$3,039.68","12.48%","N/A"
ANF,"900",5%,BUY,"$94.43","-0.63","-0.66%","$84,987.00","$10,300.50","13.79%","N/A"
AOSL,"407",< 1%,BUY,"$27.43","-1.09","-3.82%","$11,163.89","$1,581.07","16.50%","N/A"
AXON,"1",< 1%,BUY,"$709.80","4.58","0.65%","$709.80","-$16.29","-2.24%","N/A"
BA,"1",< 1%,BUY,"$233.82","-0.07","-0.03%","$233.82","$28.11","13.66%","N/A"
BAC,"1,000",3%,BUY,"$48.84","0.70","1.44%","$48,835.00","$1,675.00","3.55%","N/A"
BMWKY,"690",1%,BUY,"$33.95","-0.54","-1.57%","$23,425.50","$2,014.80","9.41%","N/A"
BRK.B,"30",< 1%,BUY,"$483.97","1.34","0.28%","$14,518.95","-$1,090.05","-6.98%","N/A"
BSX,"100",< 1%,BUY,"$105.89","-1.87","-1.74%","$10,589.00","$116.00","1.11%","N/A"
COIN,"1",< 1%,BUY,"$396.43","-1.38","-0.35%","$396.43","$139.93","54.55%","N/A"
COST,"30",2%,BUY,"$937.45","-3.74","-0.40%","$28,123.50","-$2,170.20","-7.16%","N/A"
CRVS,"12,155",3%,BUY,"$4.76","0.09","1.93%","$57,857.80","$3,221.08","5.90%","N/A"
CSCO,"1",< 1%,BUY,"$68.12","-0.50","-0.73%","$68.12","$5.05","8.01%","N/A"
DELL,"839",6%,SHORT,"$128.88","1.66","1.30%","$108,126.13","-$23,152.21","-27.25%","N/A"
DIS,"100",< 1%,BUY,"$122.15","-0.79","-0.64%","$12,215.00","$1,060.00","9.50%","N/A"
DKS,"48",< 1%,BUY,"$212.77","-4.03","-1.86%","$10,212.72","$1,439.28","16.40%","N/A"
DUOL,"39",< 1%,BUY,"$359.99","0.20","0.06%","$14,039.61","-$6,757.43","-32.49%","N/A"
ELF,"201",1%,BUY,"$118.29","0.63","0.53%","$23,775.29","$1,014.79","4.46%","N/A"
EXFY,"8,435",1%,BUY,"$2.26","-0.08","-3.22%","$19,020.93","-$1,644.83","-7.96%","N/A"
FDX,"100",1%,BUY,"$237.61","-0.30","-0.12%","$23,760.50","$1,605.00","7.24%","N/A"
GLOB,"1",< 1%,BUY,"$87.94","-2.16","-2.40%","$87.94","-$13.69","-13.47%","N/A"
GM,"369",1%,BUY,"$52.67","-0.47","-0.88%","$19,433.39","$1,156.82","6.33%","N/A"
GNW,"2,059",< 1%,BUY,"$7.36","-0.10","-1.34%","$15,154.45","$260.46","1.75%","N/A"
GOOG,"105",1%,BUY,"$194.11","2.60","1.36%","$20,381.55","$2,079.98","11.37%","N/A"
GRAB,"2,000",< 1%,BUY,"$5.30","-0.07","-1.30%","$10,600.00","$1,380.00","14.97%","N/A"
GT,"5,000",3%,BUY,"$11.38","-0.17","-1.43%","$56,875.00","$1,675.00","3.03%","N/A"
HALO,"189",< 1%,BUY,"$58.78","0.22","0.38%","$11,109.42","$933.66","9.18%","N/A"
HLT,"42",< 1%,BUY,"$268.29","1.44","0.54%","$11,268.18","$682.92","6.45%","N/A"
HOOD,"1",< 1%,BUY,"$101.87","-0.22","-0.21%","$101.87","$41.69","69.28%","N/A"
JNJ,"150",1%,BUY,"$169.41","0.31","0.18%","$25,411.50","$2,515.50","10.99%","N/A"
JPM,"21",< 1%,BUY,"$298.59","1.83","0.61%","$6,270.29","$663.92","11.84%","N/A"
KMI,"500",< 1%,BUY,"$27.09","0.28","1.04%","$13,545.00","-$362.50","-2.61%","N/A"
KO,"200",< 1%,BUY,"$69.24","0.08","0.11%","$13,847.00","-$219.00","-1.56%","N/A"
LCID,"1",< 1%,BUY,"$2.96","-0.12","-3.90%","$2.96","$0.25","9.02%","N/A"
LIDR,"107,089",18%,SHORT,"$2.94","1.81","160.18%","$314,841.66","-$8,063.80","-2.63%","N/A"
LMT,"100",2%,BUY,"$425.01","5.62","1.34%","$42,501.47","-$3,809.53","-8.23%","N/A"
LULU,"1",< 1%,BUY,"$219.64","-4.39","-1.96%","$219.64","-$94.22","-30.02%","N/A"
LUNR,"1",< 1%,BUY,"$12.71","-0.66","-4.94%","$12.71","$0.93","7.89%","N/A"
LYFT,"2,389",2%,BUY,"$14.49","-0.25","-1.66%","$34,604.67","-$6,175.57","-15.14%","N/A"
MA,"10",< 1%,BUY,"$565.86","3.77","0.67%","$5,658.60","-$82.65","-1.44%","N/A"
META,"5",< 1%,BUY,"$715.84","2.26","0.32%","$3,579.20","$307.73","9.41%","N/A"
MMM,"500",4%,BUY,"$150.39","-0.44","-0.29%","$75,192.50","$842.50","1.13%","N/A"
MU,"500",3%,BUY,"$112.04","2.21","2.01%","$56,017.50","-$6,037.50","-9.73%","N/A"
NKE,"1",< 1%,BUY,"$75.69","-1.07","-1.39%","$75.69","$15.05","24.82%","N/A"
NSRGY,"1",< 1%,BUY,"$93.52","-6.33","-6.34%","$93.52","-$9.07","-8.85%","N/A"
