Symbol,Order Date,Transaction Date,Type,Cancel Reason,Amount,Price
AGI,7/17/25 11:02p ET,7/18/25 9:30a ET,Buy,"","1,200","$25.56"
DOMO,7/17/25 11:01p ET,7/18/25 9:30a ET,Buy,"","2,100","$14.75"
QCOM,7/17/25 11:00p ET,7/18/25 9:30a ET,Sell,"","188","$153.04"
NVO,7/17/25 10:57p ET,7/18/25 9:30a ET,Sell,"","431","$65.66"
QCOM,7/10/25 10:43p ET,7/11/25 9:30a ET,Buy,"","188","$159.17"
O,7/10/25 10:36p ET,7/11/25 9:30a ET,Sell,"","536","$56.77"
AVGO,7/10/25 10:34p ET,7/11/25 9:30a ET,Buy,"","105","$274.47"
NVO,7/1/25 2:07p ET,7/1/25 2:07p ET,Buy,"","431","$69.72"
BMGL,7/1/25 2:04p ET,7/1/25 2:05p ET,Sell,"","8,916","$1.66"
BMGL,7/1/25 2:04p ET,,Buy,"Insufficient Buying Power","691,932","N/A"
MCD,6/30/25 11:44a ET,6/30/25 11:44a ET,Sell,"","64","$292.01"
ACN,6/30/25 11:42a ET,6/30/25 11:42a ET,Sell,"","77","$298.06"
NVDA,6/19/25 8:44p ET,6/20/25 9:30a ET,Buy,"","205","$145.44"
GME,6/19/25 8:42p ET,6/20/25 9:30a ET,Sell,"","303","$23.52"
KSS,6/13/25 1:04p ET,6/13/25 1:04p ET,Sell,"","3","$8.49"
LUCY,6/13/25 1:02p ET,6/13/25 1:18p ET,Sell,"","4,000","$2.53"
KSS,6/13/25 1:02p ET,6/13/25 1:02p ET,Sell,"","997","$8.49"
ASTS,6/9/25 11:21a ET,6/9/25 11:21a ET,Cover,"","350","$35.98"
TSLA,6/6/25 12:48p ET,6/6/25 12:48p ET,Buy,"","67","$301.68"
ASML,6/6/25 10:55a ET,6/6/25 10:56a ET,Buy,"","40","$757.72"
ASTS,6/5/25 11:13p ET,6/6/25 9:30a ET,Short,"","350","$31.01"
BMGL,6/5/25 11:10p ET,6/6/25 9:30a ET,Buy,"","3,900","$3.79"
GGAL,6/5/25 11:07p ET,6/6/25 9:30a ET,Sell,"","486","$55.05"
EXOD,6/5/25 11:07p ET,6/6/25 9:42a ET,Sell,"","735","$26.34"
VTIP,6/4/25 3:16p ET,6/4/25 3:16p ET,Buy,"","700","$50.00"
SHY,6/4/25 3:15p ET,6/4/25 3:15p ET,Sell,"","299","$82.43"
LUCY,6/4/25 3:15p ET,6/4/25 3:15p ET,Buy,"","4,000","$3.11"
KSS,6/4/25 3:14p ET,6/4/25 3:14p ET,Buy,"","1,000","$8.17"
BMGL,6/2/25 10:31a ET,6/2/25 10:31a ET,Sell,"","2,500","$7.84"
BMGL,5/30/25 12:12p ET,5/30/25 12:12p ET,Buy,"","7,516","$1.99"
WIX,5/29/25 11:05p ET,5/30/25 9:30a ET,Sell,"","139","$150.12"
QBTS,5/29/25 11:04p ET,5/30/25 9:30a ET,Sell,"","1,600","$15.66"
EXOD,5/27/25 9:37a ET,5/27/25 9:39a ET,Buy,"","735","$35.04"
MTZ,5/27/25 9:37a ET,5/27/25 9:37a ET,Buy,"","90","$153.56"
