Symbol,Order Date,Transaction Date,Type,Cancel Reason,Amount,Price
JPM,7/9/25 8:22p ET,7/10/25 9:30a ET,Sell,"","70","$283.08"
TSLA,7/9/25 8:21p ET,7/10/25 9:30a ET,Sell,"","85","$300.13"
COST,7/9/25 8:21p ET,7/10/25 9:30a ET,Sell,"","11","$987.00"
AMDL,7/9/25 8:20p ET,7/10/25 9:30a ET,Sell,"","3,105","$8.60"
CELH,7/9/25 8:20p ET,7/10/25 9:30a ET,Buy,"","480","$46.39"
CRWD,7/9/25 8:20p ET,7/10/25 9:30a ET,Buy,"","40","$513.00"
PLTR,7/9/25 8:19p ET,7/10/25 9:30a ET,Buy,"","180","$143.38"
COIN,7/9/25 8:18p ET,7/10/25 9:30a ET,Buy,"","80","$372.41"
SYM,7/9/25 8:18p ET,7/10/25 9:30a ET,Buy,"","650","$47.84"
UPST,7/9/25 8:18p ET,7/10/25 9:30a ET,Buy,"","380","$78.53"
CONL,6/26/25 12:28p ET,6/26/25 12:28p ET,Cover,"","2,000","$52.32"
CONL,6/25/25 4:14p ET,6/26/25 9:30a ET,Short,"","2,000","$47.73"
AMDL,6/25/25 1:41a ET,6/25/25 9:30a ET,Buy,"","3,105","$8.43"
UPST,6/24/25 8:24p ET,6/25/25 9:30a ET,Short,"","230","$65.80"
SMCI,6/24/25 8:23p ET,6/25/25 9:30a ET,Buy,"","700","$43.33"
TSLA,6/24/25 8:23p ET,6/25/25 9:30a ET,Buy,"","90","$342.70"
SNOW,6/24/25 8:22p ET,6/25/25 9:30a ET,Buy,"","180","$223.20"
SHOP,6/24/25 8:22p ET,6/25/25 9:30a ET,Buy,"","350","$114.28"
PLTR,6/24/25 8:22p ET,6/25/25 9:30a ET,Buy,"","280","$144.52"
COIN,6/24/25 8:21p ET,6/25/25 9:30a ET,Buy,"","145","$360.60"
CELH,6/24/25 8:21p ET,6/25/25 9:30a ET,Buy,"","1,100","$45.46"
AMD,6/24/25 8:21p ET,6/25/25 9:30a ET,Buy,"","360","$140.96"
V,6/24/25 8:20p ET,6/25/25 9:30a ET,Sell,"","85","$350.82"
MDB,6/24/25 8:20p ET,6/25/25 9:30a ET,Sell,"","355","$210.84"
LOW,6/24/25 8:19p ET,6/25/25 9:30a ET,Sell,"","86","$219.52"
QUBT,6/18/25 2:10p ET,6/18/25 2:10p ET,Cover,"","9,500","$19.32"
QUBT,6/18/25 2:06p ET,,Cover,"User Initiated","9,500","N/A"
RGC,6/18/25 2:30a ET,6/18/25 9:30a ET,Short,"Insufficient Buying Power","227","$60.01"
RGC,6/18/25 12:39a ET,,Short,"User Initiated","227","N/A"
QUBT,6/18/25 12:39a ET,6/18/25 9:30a ET,Cover,"","1,500","$20.30"
CRWV,6/18/25 12:38a ET,6/18/25 9:30a ET,Sell,"","100","$173.33"
PG,6/18/25 12:38a ET,6/18/25 9:30a ET,Sell,"","141","$158.55"
DIS,6/18/25 12:37a ET,6/18/25 9:30a ET,Sell,"","293","$117.92"
ARM,6/18/25 12:34a ET,6/18/25 9:30a ET,Sell,"","40","$145.00"
QUBT,6/16/25 1:27p ET,6/16/25 1:27p ET,Short,"","11,000","$20.01"
QUBT,6/12/25 11:18a ET,6/12/25 11:21a ET,Cover,"","5,000","$18.00"
SYM,6/11/25 8:46p ET,6/12/25 9:30a ET,Sell,"","900","$28.80"
BRK.B,6/11/25 8:46p ET,6/12/25 9:30a ET,Sell,"","43","$486.24"
LULU,6/11/25 8:45p ET,6/12/25 9:30a ET,Sell,"","60","$251.67"
UPST,6/11/25 8:45p ET,6/12/25 9:30a ET,Buy,"","425","$56.94"
TSM,6/11/25 8:45p ET,6/12/25 9:30a ET,Buy,"","235","$212.81"
MDB,6/11/25 8:44p ET,6/12/25 9:30a ET,Buy,"","355","$210.22"
ARM,6/11/25 8:44p ET,6/12/25 9:30a ET,Buy,"","720","$137.43"
CELH,6/11/25 8:43p ET,6/12/25 9:30a ET,Buy,"","600","$41.92"
AVGO,6/11/25 8:43p ET,6/12/25 9:30a ET,Buy,"","198","$250.17"
CRWD,6/11/25 8:42p ET,6/12/25 9:30a ET,Buy,"","105","$474.02"
META,6/11/25 8:42p ET,6/12/25 9:30a ET,Buy,"","71","$692.89"
SNOW,6/11/25 8:41p ET,6/12/25 9:30a ET,Buy,"","355","$207.01"
NVDA,6/11/25 8:41p ET,6/12/25 9:30a ET,Buy,"","700","$141.98"
QUBT,6/11/25 8:33p ET,6/12/25 9:30a ET,Short,"","5,000","$19.69"
TOST,6/3/25 8:45p ET,6/4/25 9:30a ET,Buy,"","610","$41.68"
PLTR,6/3/25 8:44p ET,6/4/25 9:30a ET,Buy,"","340","$132.80"
SYM,6/3/25 8:43p ET,6/4/25 9:30a ET,Buy,"","1,015","$29.68"
SHOP,6/3/25 8:43p ET,6/4/25 9:30a ET,Buy,"","285","$105.44"
DDOG,6/3/25 8:42p ET,6/4/25 9:30a ET,Buy,"","340","$119.00"
COIN,6/3/25 8:42p ET,6/4/25 9:30a ET,Buy,"","195","$257.53"
CELH,6/3/25 8:42p ET,6/4/25 9:30a ET,Buy,"","1,025","$39.64"
CRWV,6/3/25 8:41p ET,6/4/25 9:30a ET,Buy,"","400","$156.00"
ARM,6/3/25 8:39p ET,6/4/25 9:30a ET,Sell,"","185","$129.49"
ARKK,6/3/25 8:39p ET,6/4/25 9:30a ET,Cover,"","1,750","$58.15"
ARM,5/28/25 11:30p ET,5/29/25 9:30a ET,Buy,"","185","$138.17"
SYM,5/28/25 11:30p ET,5/29/25 9:30a ET,Buy,"","675","$30.37"
ARKK,5/28/25 11:27p ET,5/29/25 9:30a ET,Short,"","1,750","$57.63"
PATH,5/28/25 11:27p ET,5/29/25 9:30a ET,Buy,"","850","$13.16"
CRWV,5/28/25 11:26p ET,5/29/25 9:30a ET,Buy,"","135","$123.57"
SMCI,5/28/25 11:26p ET,5/29/25 9:30a ET,Sell,"","200","$43.17"
PLTR,5/28/25 11:25p ET,5/29/25 9:30a ET,Sell,"","105","$125.41"
NVDA,5/27/25 8:22p ET,5/28/25 9:30a ET,Buy,"","37","$136.05"
SHOP,5/27/25 8:22p ET,5/28/25 9:30a ET,Buy,"","70","$106.70"
DDOG,5/27/25 8:21p ET,5/28/25 9:30a ET,Buy,"","62","$117.61"
PLTR,5/27/25 8:20p ET,5/28/25 9:30a ET,Buy,"","60","$124.23"
SMCI,5/27/25 8:20p ET,5/28/25 9:30a ET,Buy,"","175","$41.85"
CRWV,5/27/25 8:19p ET,5/28/25 9:30a ET,Buy,"","120","$123.75"
HD,5/27/25 8:19p ET,5/28/25 9:30a ET,Sell,"","41","$368.75"
JNJ,5/27/25 8:18p ET,5/28/25 9:30a ET,Sell,"","48","$153.28"
ARKK,5/21/25 12:52p ET,5/21/25 12:52p ET,Cover,"","425","$57.61"
CRWV,5/20/25 9:01p ET,5/21/25 9:30a ET,Buy,"","100","$89.46"
ARKK,5/20/25 8:59p ET,5/21/25 9:30a ET,Short,"","425","$57.00"
NOW,5/20/25 8:55p ET,5/21/25 9:30a ET,Buy,"","19","$1,008.79"
SNOW,5/20/25 8:55p ET,5/21/25 9:30a ET,Buy,"","110","$180.81"
LULU,5/20/25 8:54p ET,5/21/25 9:30a ET,Buy,"","60","$322.11"
SHOP,5/20/25 8:54p ET,5/21/25 9:30a ET,Buy,"","190","$105.00"
PLTR,5/20/25 8:54p ET,5/21/25 9:30a ET,Buy,"","150","$125.16"
ASML,5/20/25 8:54p ET,5/21/25 9:30a ET,Buy,"","26","$749.01"
AMD,5/20/25 8:53p ET,5/21/25 9:30a ET,Buy,"","177","$113.85"
LOW,5/20/25 8:53p ET,5/21/25 9:30a ET,Buy,"","86","$231.85"
COIN,5/20/25 8:53p ET,5/21/25 9:30a ET,Buy,"","76","$260.20"
DDOG,5/20/25 8:53p ET,5/21/25 9:30a ET,Buy,"","172","$114.93"
JNJ,5/20/25 8:51p ET,5/21/25 9:30a ET,Sell,"","47","$153.09"
HD,5/20/25 8:51p ET,5/21/25 9:30a ET,Sell,"","41","$377.75"
ARKK,5/15/25 12:43p ET,,Cover,"Insufficient Shares","20","N/A"
ARKK,5/15/25 12:42p ET,5/15/25 12:43p ET,Cover,"","20","$56.85"
LCID,5/15/25 12:41p ET,5/15/25 12:41p ET,Cover,"","2,000","$2.73"
LCID,5/14/25 8:13p ET,5/15/25 9:30a ET,Short,"","2,000","$2.72"
ARKK,5/14/25 8:12p ET,5/15/25 9:30a ET,Short,"","20","$56.88"
BRK.B,5/14/25 8:11p ET,5/15/25 9:30a ET,Sell,"","14","$502.38"
PG,5/14/25 8:10p ET,5/15/25 9:30a ET,Sell,"","47","$159.59"
JNJ,5/14/25 8:10p ET,5/15/25 9:30a ET,Sell,"","95","$148.22"
UNH,5/14/25 8:09p ET,5/15/25 9:30a ET,Sell,"","75","$274.55"
CRWD,5/14/25 8:09p ET,5/15/25 9:30a ET,Buy,"","45","$423.01"
COST,5/14/25 8:08p ET,5/15/25 9:30a ET,Buy,"","21","$992.65"
AVGO,5/14/25 8:08p ET,5/15/25 9:30a ET,Buy,"","110","$230.12"
SMCI,5/14/25 8:08p ET,5/15/25 9:30a ET,Buy,"","555","$44.03"
LLY,5/14/25 8:07p ET,5/15/25 9:30a ET,Buy,"","42","$726.38"
MSFT,5/14/25 8:06p ET,5/15/25 9:30a ET,Buy,"","65","$450.77"
META,5/14/25 8:06p ET,5/15/25 9:30a ET,Buy,"","45","$654.30"
META,5/14/25 8:05p ET,5/15/25 9:30a ET,Buy,"","46","$654.30"
TSLA,5/14/25 8:05p ET,5/15/25 9:30a ET,Buy,"","145","$340.35"
NVDA,5/14/25 8:04p ET,5/15/25 9:30a ET,Buy,"","370","$134.30"
DIS,5/7/25 10:19p ET,5/8/25 9:30a ET,Buy,"","293","$103.97"
HD,5/7/25 10:18p ET,5/8/25 9:30a ET,Buy,"","82","$363.64"
PG,5/7/25 10:18p ET,5/8/25 9:30a ET,Buy,"","188","$158.40"
UNH,5/7/25 10:17p ET,5/8/25 9:30a ET,Buy,"","75","$390.00"
JPM,5/7/25 10:16p ET,5/8/25 9:30a ET,Buy,"","120","$251.69"
V,5/7/25 10:15p ET,5/8/25 9:30a ET,Buy,"","85","$351.97"
JNJ,5/7/25 10:15p ET,5/8/25 9:30a ET,Buy,"","190","$155.79"
BRK.B,5/7/25 10:15p ET,5/8/25 9:31a ET,Buy,"","57","$520.98"
META,5/7/25 10:14p ET,5/8/25 9:30a ET,Buy,"","50","$606.29"
NVDA,5/7/25 10:14p ET,5/8/25 9:30a ET,Buy,"","255","$118.48"
TSLA,5/7/25 10:13p ET,5/8/25 9:30a ET,Buy,"","108","$279.63"
AMZN,5/7/25 10:12p ET,5/8/25 9:30a ET,Buy,"","158","$191.48"
GOOGL,5/7/25 10:12p ET,5/8/25 9:30a ET,Buy,"","198","$154.74"
MSFT,5/7/25 10:11p ET,5/8/25 9:30a ET,Buy,"","138","$437.93"
AAPL,5/7/25 10:10p ET,5/8/25 9:30a ET,Buy,"","305","$197.74"
