Symbol,Order Date,Transaction Date,Type,Cancel Reason,Amount,Price
COST,7/17/25 7:39p ET,7/18/25 9:30a ET,Buy,"","27","$958.14"
NOW,7/17/25 7:38p ET,7/18/25 9:30a ET,Buy,"","35","$958.00"
CRM,7/17/25 7:38p ET,7/18/25 9:30a ET,Buy,"","150","$261.07"
GME,7/17/25 7:37p ET,7/18/25 9:30a ET,Buy,"","2,135","$23.48"
NVDA,7/17/25 7:37p ET,7/18/25 9:30a ET,Sell,"","391","$173.73"
SATS,7/17/25 7:37p ET,7/18/25 9:30a ET,Sell,"","684","$29.24"
UPST,7/17/25 7:36p ET,7/18/25 9:30a ET,Sell,"","253","$78.50"
DAL,7/10/25 7:41p ET,7/11/25 9:30a ET,Buy,"","127","$56.35"
TSM,7/10/25 7:41p ET,7/11/25 9:30a ET,Buy,"","43","$231.00"
NVDA,7/10/25 7:40p ET,7/11/25 9:30a ET,Buy,"","74","$163.72"
KMI,7/10/25 7:38p ET,7/11/25 9:30a ET,Buy,"","421","$27.77"
XOM,7/10/25 7:37p ET,7/11/25 9:30a ET,Buy,"","88","$114.82"
CVNA,7/10/25 7:37p ET,7/11/25 9:30a ET,Buy,"","14","$344.16"
PLAG,7/10/25 7:36p ET,7/11/25 9:34a ET,Sell,"","170","$1.07"
SPWH,7/10/25 7:35p ET,7/11/25 9:30a ET,Sell,"","6,444","$3.74"
SURG,7/10/25 7:35p ET,7/11/25 9:30a ET,Sell,"","9,495","$3.24"
F,6/26/25 7:17p ET,6/27/25 9:30a ET,Buy,"","300","$10.69"
BABA,6/26/25 7:16p ET,6/27/25 9:30a ET,Buy,"","100","$114.37"
PFE,6/26/25 7:14p ET,6/27/25 9:30a ET,Buy,"","50","$24.32"
BAC,6/26/25 7:14p ET,6/27/25 9:30a ET,Buy,"","200","$47.26"
NVDA,6/26/25 7:13p ET,6/27/25 9:30a ET,Sell,"","50","$156.00"
NFLX,6/26/25 7:13p ET,6/27/25 9:30a ET,Sell,"","15","$1,306.30"
GME,6/26/25 7:13p ET,6/27/25 9:30a ET,Sell,"","200","$23.99"
TSLA,6/12/25 7:50p ET,6/13/25 9:30a ET,Buy,"","70","$314.00"
ARKK,6/12/25 7:46p ET,6/13/25 9:30a ET,Sell,"","355","$60.62"
FTNT,6/12/25 7:45p ET,6/13/25 9:30a ET,Buy,"","100","$100.78"
ONON,6/12/25 7:45p ET,6/13/25 9:30a ET,Buy,"","300","$54.19"
ASML,6/12/25 7:45p ET,6/13/25 9:30a ET,Buy,"","10","$766.89"
VRTX,6/12/25 7:44p ET,6/13/25 9:30a ET,Buy,"","50","$455.39"
TSM,6/12/25 7:44p ET,6/13/25 9:30a ET,Buy,"","100","$210.11"
SMCI,6/12/25 7:44p ET,6/13/25 9:30a ET,Buy,"","8","$42.03"
AVGO,6/12/25 7:44p ET,6/13/25 9:30a ET,Buy,"","25","$250.66"
TSLA,6/12/25 7:43p ET,6/13/25 9:30a ET,Buy,"","75","$314.00"
PLAG,6/12/25 7:43p ET,6/13/25 9:30a ET,Sell,"","3,000","$2.43"
GME,6/12/25 7:42p ET,6/13/25 9:30a ET,Sell,"","450","$22.19"
UPST,6/5/25 11:26p ET,6/6/25 9:30a ET,Buy,"","253","$53.38"
SATS,6/5/25 11:25p ET,6/6/25 9:30a ET,Buy,"","684","$18.99"
CVNA,6/5/25 11:21p ET,6/6/25 9:30a ET,Buy,"","29","$347.80"
SMCI,6/5/25 11:18p ET,6/6/25 9:30a ET,Buy,"","40","$42.00"
ENPH,6/5/25 11:16p ET,6/6/25 9:30a ET,Buy,"","242","$41.68"
CVNA,6/5/25 11:16p ET,,Short,"User Initiated","29","N/A"
INZY,6/5/25 11:14p ET,6/6/25 9:30a ET,Buy,"","2,506","$3.98"
ARKK,6/5/25 11:14p ET,6/6/25 9:30a ET,Buy,"","355","$58.19"
PFE,6/5/25 11:13p ET,6/6/25 9:30a ET,Sell,"","2,042","$23.25"
EXR,6/5/25 11:12p ET,6/6/25 9:32a ET,Sell,"","118","$150.45"
NEM,6/5/25 11:11p ET,6/6/25 9:30a ET,Sell,"","150","$54.49"
LLY,6/5/25 11:11p ET,6/6/25 9:30a ET,Sell,"","25","$769.25"
KO,6/5/25 11:11p ET,6/6/25 9:30a ET,Sell,"","160","$71.09"
ZEO,6/5/25 11:04p ET,6/6/25 9:30a ET,Sell,"","62,633","$2.78"
ZEO,6/5/25 11:02p ET,,Sell,"User Initiated","62,633","N/A"
LLY,5/29/25 10:58p ET,5/30/25 9:30a ET,Buy,"","10","$724.60"
AMZN,5/29/25 10:58p ET,5/30/25 9:30a ET,Buy,"","40","$204.78"
PFE,5/29/25 10:56p ET,5/30/25 9:30a ET,Buy,"","250","$23.51"
COST,5/29/25 10:55p ET,5/30/25 9:30a ET,Buy,"","7","$1,002.55"
GOOGL,5/29/25 10:55p ET,5/30/25 9:30a ET,Buy,"","50","$171.36"
MSFT,5/29/25 10:54p ET,5/30/25 9:30a ET,Buy,"","30","$459.72"
AAPL,5/29/25 10:53p ET,5/30/25 9:30a ET,Buy,"","100","$199.41"
ZEO,5/29/25 10:49p ET,5/30/25 9:30a ET,Buy,"","5,000","$2.88"
GME,5/29/25 10:49p ET,5/30/25 9:30a ET,Sell,"","1,000","$29.25"
ZEO,5/22/25 11:09p ET,5/23/25 9:30a ET,Buy,"","11,954","$1.56"
DIS,5/22/25 11:08p ET,5/23/25 9:30a ET,Buy,"","253","$109.61"
PFE,5/22/25 11:08p ET,5/23/25 9:30a ET,Buy,"","2,037","$22.97"
CRM,5/22/25 11:04p ET,5/23/25 9:30a ET,Sell,"","40","$278.15"
COST,5/22/25 11:03p ET,5/23/25 9:30a ET,Sell,"","14","$1,012.00"
TSLA,5/22/25 11:00p ET,5/23/25 9:30a ET,Sell,"","164","$337.52"
COST,5/15/25 11:14p ET,5/16/25 9:30a ET,Buy,"","5.81","$1,012.00"
EBAY,5/15/25 11:09p ET,5/16/25 9:30a ET,Buy,"","50","$70.90"
GM,5/15/25 11:05p ET,5/16/25 9:30a ET,Buy,"","100","$50.11"
ZEO,5/14/25 10:11p ET,5/15/25 9:30a ET,Buy,"","45,679","$1.56"
GME,5/14/25 10:11p ET,5/15/25 9:30a ET,Buy,"","3,450","$28.50"
TWLO,5/14/25 10:09p ET,5/15/25 9:30a ET,Buy,"","296","$112.38"
PLAG,5/14/25 10:08p ET,5/15/25 9:35a ET,Buy,"","3,170","$1.47"
SURG,5/14/25 10:08p ET,5/15/25 9:30a ET,Buy,"","9,495","$2.56"
EXR,5/14/25 10:08p ET,5/15/25 9:30a ET,Buy,"","185","$146.78"
SPWH,5/14/25 10:07p ET,5/15/25 9:30a ET,Buy,"","6,444","$2.01"
SHEL,5/14/25 10:07p ET,5/15/25 9:30a ET,Buy,"","129","$66.63"
JPM,5/14/25 10:07p ET,5/15/25 9:30a ET,Buy,"","94","$266.97"
NOW,5/14/25 10:07p ET,5/15/25 9:30a ET,Buy,"","22","$1,031.31"
AVGO,5/14/25 10:07p ET,5/15/25 9:30a ET,Buy,"","85","$230.12"
HD,5/14/25 10:06p ET,5/15/25 9:30a ET,Buy,"","66","$371.52"
META,5/14/25 10:06p ET,5/15/25 9:30a ET,Buy,"","44","$654.30"
NEM,5/14/25 10:06p ET,5/15/25 9:30a ET,Buy,"","150","$49.00"
LLY,5/14/25 10:06p ET,5/15/25 9:30a ET,Buy,"","15","$726.38"
GOOGL,5/14/25 10:06p ET,5/15/25 9:30a ET,Buy,"","143","$165.84"
OXY,5/14/25 10:05p ET,5/15/25 9:30a ET,Buy,"","435","$43.01"
GE,5/14/25 10:05p ET,5/15/25 9:30a ET,Buy,"","223.24","$223.52"
NFLX,5/14/25 10:04p ET,5/15/25 9:30a ET,Buy,"","32","$1,147.74"
BAC,5/14/25 10:04p ET,5/15/25 9:30a ET,Buy,"","668","$44.61"
BABA,5/14/25 10:03p ET,5/15/25 9:30a ET,Buy,"","84","$126.21"
F,5/14/25 10:03p ET,5/15/25 9:31a ET,Buy,"","3,339","$10.59"
SBUX,5/14/25 10:03p ET,5/15/25 9:30a ET,Buy,"","269","$86.54"
NVDA,5/14/25 10:02p ET,5/15/25 9:30a ET,Buy,"","367","$134.30"
MSFT,5/14/25 10:01p ET,5/15/25 9:30a ET,Buy,"","51","$450.77"
TSLA,5/14/25 10:01p ET,5/15/25 9:30a ET,Buy,"","164","$340.35"
CRM,5/14/25 10:01p ET,5/15/25 9:30a ET,Buy,"","115","$289.27"
AAPL,5/14/25 10:00p ET,5/15/25 9:30a ET,Buy,"","141","$211.00"
KO,5/14/25 10:00p ET,5/15/25 9:30a ET,Buy,"","160","$69.68"
PFGC,5/14/25 10:00p ET,5/15/25 9:31a ET,Buy,"","303","$86.73"
SONY,5/14/25 10:00p ET,5/15/25 9:30a ET,Buy,"","889","$25.10"
DIS,5/14/25 10:00p ET,5/15/25 9:30a ET,Buy,"","310","$112.24"
PFE,5/14/25 9:59p ET,5/15/25 9:30a ET,Buy,"","620","$22.28"
COST,5/14/25 9:59p ET,5/15/25 9:30a ET,Buy,"","23","$992.65"
WMT,5/14/25 9:59p ET,5/15/25 9:30a ET,Buy,"","167","$94.28"
