Symbol,Order Date,Transaction Date,Type,Cancel Reason,Amount,Price
ATNF,7/21/25 12:06p ET,7/21/25 12:06p ET,Buy,"","33,511","$2.82"
TNGX,7/15/25 3:28p ET,7/15/25 3:28p ET,Sell,"","1","$5.88"
RYET,7/15/25 3:28p ET,7/15/25 3:28p ET,Buy,"","33,579","$2.12"
TNGX,6/11/25 1:40p ET,6/11/25 1:40p ET,Buy,"","19,337","$4.72"
TNGX,6/11/25 11:48a ET,6/11/25 11:48a ET,Buy,"","155,747","$4.84"
TNGX,6/11/25 11:45a ET,6/11/25 11:45a ET,Sell,"","139,735","$4.81"
TNGX,6/11/25 11:38a ET,6/11/25 11:38a ET,Buy,"","139,735","$4.73"
TNGX,6/11/25 11:14a ET,6/11/25 11:14a ET,Sell,"","154,788","$4.81"
TNGX,6/10/25 2:17p ET,6/10/25 2:18p ET,Buy,"","51,050","$4.34"
TNGX,6/10/25 1:29p ET,6/10/25 1:29p ET,Buy,"","103,738","$4.49"
TNGX,6/10/25 12:22p ET,6/10/25 12:22p ET,Sell,"","161,681","$4.60"
TNGX,6/10/25 12:14p ET,6/10/25 12:14p ET,Buy,"","161,681","$4.52"
TNGX,6/10/25 11:32a ET,6/10/25 11:32a ET,Sell,"","126,790","$4.51"
TNGX,6/6/25 12:45p ET,6/6/25 12:45p ET,Buy,"","40,337","$4.39"
TNGX,6/6/25 10:46a ET,6/6/25 10:46a ET,Buy,"","86,453","$4.14"
TNGX,6/6/25 10:18a ET,6/6/25 10:43a ET,Sell,"","90,090","$4.08"
TNGX,6/6/25 10:16a ET,,Sell,"User Initiated","1","N/A"
TNGX,6/6/25 10:14a ET,6/6/25 10:14a ET,Buy,"","90,090","$4.16"
TNGX,6/6/25 10:12a ET,6/6/25 10:12a ET,Sell,"","46,674","$4.10"
VSCO,6/2/25 3:56p ET,6/2/25 3:56p ET,Sell,"","12,633","$20.84"
CLNN,6/2/25 3:55p ET,6/2/25 3:55p ET,Buy,"","26,657","$4.86"
AI,5/20/25 12:08p ET,5/20/25 12:08p ET,Cover,"","296","$23.12"
TNGX,5/20/25 11:53a ET,5/20/25 11:53a ET,Buy,"","46,674","$2.39"
SYTA,5/20/25 11:50a ET,5/20/25 11:50a ET,Sell,"","25,115","$6.78"
SYTA,5/19/25 3:09p ET,5/19/25 3:09p ET,Buy,"","26,630","$3.71"
OKUR,5/19/25 12:17p ET,,Buy,"Insufficient Buying Power","45,967","N/A"
VSCO,5/19/25 12:16p ET,5/19/25 12:16p ET,Buy,"","12,633","$22.24"
CLNN,5/19/25 12:15p ET,5/19/25 12:18p ET,Buy,"","46,922","$2.64"
XFOR,5/19/25 12:09p ET,5/19/25 12:16p ET,Sell,"","30,414","$2.89"
INZY,5/15/25 3:55p ET,5/15/25 3:55p ET,Sell,"","175,500","$1.42"
AI,5/13/25 5:40p ET,5/14/25 9:31a ET,Short,"","296","$24.19"
COST,5/13/25 5:31p ET,5/14/25 9:31a ET,Buy,"","1","$998.76"
WMT,5/13/25 5:31p ET,5/14/25 9:31a ET,Buy,"","1","$96.03"
OC,5/13/25 5:31p ET,5/14/25 9:31a ET,Buy,"Insufficient Buying Power","1,000","$143.62"
ARM,5/13/25 5:30p ET,5/14/25 9:31a ET,Buy,"","1,250","$128.81"
PLTR,5/13/25 5:29p ET,5/14/25 9:31a ET,Buy,"","1,500","$129.03"
RCKT,5/13/25 5:29p ET,5/14/25 9:31a ET,Buy,"","25,000","$6.53"
INZY,5/13/25 5:28p ET,5/14/25 9:31a ET,Buy,"","175,500","$1.06"
OKUR,5/13/25 5:27p ET,5/14/25 9:31a ET,Buy,"","80,000","$1.85"
XFOR,5/13/25 5:26p ET,5/14/25 9:31a ET,Buy,"","60,000","$3.39"
SEI,5/13/25 5:25p ET,5/14/25 9:31a ET,Buy,"","5,000","$23.24"
NVDA,5/13/25 5:25p ET,5/14/25 9:31a ET,Buy,"","1,750","$133.17"
UNH,5/13/25 5:25p ET,5/14/25 9:31a ET,Buy,"","750","$321.40"
XENE,5/13/25 5:24p ET,5/14/25 9:31a ET,Buy,"","7,500","$29.62"
