Symbol,Order Date,Transaction Date,Type,Cancel Reason,Amount,Price
AVGO,7/23/25 7:57p ET,7/24/25 9:30a ET,Buy,"","63","$289.71"
SMCI,7/23/25 7:57p ET,7/24/25 9:30a ET,Buy,"","169","$51.82"
QBTS,7/23/25 7:56p ET,7/24/25 9:30a ET,Buy,"","3,514","$19.64"
AOSL,7/23/25 7:55p ET,7/24/25 9:30a ET,Sell,"","2,000","$28.50"
W,7/23/25 7:54p ET,7/24/25 9:30a ET,Sell,"","150","$63.00"
NFLX,7/23/25 7:54p ET,7/24/25 9:30a ET,Sell,"","60","$1,178.00"
NFLX,7/16/25 8:33p ET,7/17/25 9:30a ET,Buy,"","60","$1,253.00"
VEA,7/16/25 8:32p ET,7/17/25 9:30a ET,Buy,"","324","$56.50"
NVDA,7/16/25 8:32p ET,7/17/25 9:30a ET,Buy,"","133","$172.06"
PLTR,7/16/25 8:30p ET,7/17/25 9:30a ET,Sell,"","500","$151.57"
DJT,7/16/25 8:30p ET,7/17/25 9:30a ET,Sell,"","1,000","$18.98"
RBLX,7/16/25 8:29p ET,7/17/25 9:30a ET,Sell,"","200","$118.80"
AVGO,7/9/25 5:16p ET,7/10/25 9:30a ET,Buy,"","45","$279.69"
NVDA,7/9/25 5:15p ET,7/10/25 9:30a ET,Buy,"","100","$164.36"
TM,7/9/25 5:14p ET,7/10/25 9:30a ET,Sell,"","50","$169.51"
DUOL,7/9/25 5:14p ET,7/10/25 9:30a ET,Sell,"","10","$390.75"
APLD,7/8/25 1:12a ET,7/8/25 9:30a ET,Sell,"","1,400","$9.82"
RBLX,7/8/25 1:11a ET,7/8/25 9:30a ET,Buy,"","400","$106.49"
ADBE,7/8/25 1:09a ET,7/8/25 9:30a ET,Sell,"","250","$378.27"
MCD,6/25/25 8:55p ET,6/26/25 9:30a ET,Buy,"","582","$285.85"
MS,6/25/25 8:54p ET,6/26/25 9:30a ET,Buy,"","1,205","$137.96"
NVDA,6/25/25 7:38p ET,6/26/25 9:30a ET,Buy,"","1,080","$155.98"
SMCI,6/25/25 6:34p ET,6/26/25 9:30a ET,Buy,"","3,500","$47.06"
AOSL,6/25/25 6:33p ET,6/26/25 9:30a ET,Buy,"","6,300","$25.45"
NVDA,6/25/25 6:32p ET,6/26/25 9:30a ET,Buy,"","1,080","$155.98"
LLY,6/14/25 5:08p ET,6/16/25 9:30a ET,Buy,"","10","$821.53"
BAH,6/14/25 5:07p ET,6/16/25 9:30a ET,Buy,"","800","$102.78"
JNJ,6/14/25 5:06p ET,6/16/25 9:30a ET,Sell,"","500","$156.30"
SMCI,6/14/25 5:05p ET,6/16/25 9:30a ET,Buy,"","200","$42.28"
SNOW,6/14/25 5:04p ET,6/16/25 9:30a ET,Buy,"","23","$210.22"
SNOW,6/14/25 5:03p ET,,Buy,"User Initiated","200","N/A"
LULU,6/14/25 5:02p ET,6/16/25 9:30a ET,Sell,"","20","$241.50"
APLD,6/5/25 3:35p ET,6/5/25 3:35p ET,Buy,"","1,400","$12.96"
HAL,6/5/25 3:34p ET,6/5/25 3:34p ET,Sell,"","1,000","$20.00"
NVDA,6/4/25 5:04p ET,6/5/25 9:30a ET,Buy,"","30","$142.15"
DAL,6/4/25 5:03p ET,6/5/25 9:30a ET,Sell,"","100","$48.68"
AVGO,6/4/25 5:02p ET,6/5/25 9:30a ET,Buy,"","150","$262.90"
LEN,6/4/25 5:01p ET,6/5/25 9:30a ET,Sell,"","150","$110.04"
FIVE,6/1/25 7:47p ET,6/2/25 9:30a ET,Buy,"","120","$116.78"
GLW,6/1/25 7:47p ET,6/2/25 9:30a ET,Buy,"","300","$49.14"
TSLA,6/1/25 7:43p ET,6/2/25 9:30a ET,Buy,"","100","$343.64"
FUBO,6/1/25 7:41p ET,6/2/25 9:30a ET,Sell,"","10,000","$3.67"
AVGO,5/28/25 9:58a ET,5/28/25 9:58a ET,Buy,"","15","$236.51"
BSX,5/28/25 9:57a ET,5/28/25 9:57a ET,Sell,"","15","$105.58"
FIVE,5/28/25 1:03a ET,5/28/25 9:30a ET,Buy,"","150","$117.11"
FUBO,5/28/25 1:01a ET,5/28/25 9:30a ET,Buy,"","3,000","$3.68"
PEN,5/28/25 1:00a ET,5/28/25 9:34a ET,Sell,"","74","$273.44"
PEN,5/28/25 1:00a ET,5/28/25 9:34a ET,Sell,"","1","$273.44"
UNH,5/28/25 12:59a ET,5/28/25 9:30a ET,Sell,"","100","$294.07"
DJT,5/28/25 12:48a ET,5/28/25 9:30a ET,Buy,"","1,000","$23.50"
NKE,5/28/25 12:47a ET,5/28/25 9:30a ET,Sell,"","400","$62.80"
VZ,5/21/25 5:35p ET,5/22/25 9:31a ET,Buy,"","100","$43.69"
DUOL,5/21/25 5:35p ET,5/22/25 9:31a ET,Buy,"","10","$511.11"
BSX,5/21/25 5:34p ET,5/22/25 9:31a ET,Buy,"","15","$104.36"
KHC,5/21/25 5:33p ET,5/22/25 9:31a ET,Sell,"","15","$26.60"
CVNA,5/21/25 5:32p ET,5/22/25 9:31a ET,Sell,"","10","$292.49"
BA,5/20/25 11:59p ET,5/21/25 9:30a ET,Sell,"","100","$206.48"
TSM,5/14/25 1:12a ET,5/14/25 9:30a ET,Buy,"","50","$195.28"
FUBO,5/14/25 1:04a ET,5/14/25 9:30a ET,Buy,"","10,000","$2.97"
MANU,5/14/25 1:03a ET,5/14/25 9:30a ET,Buy,"","1,000","$14.39"
HAL,5/14/25 1:03a ET,5/14/25 9:30a ET,Buy,"","1,000","$21.15"
KDP,5/14/25 1:02a ET,5/14/25 9:31a ET,Buy,"","1,000","$33.00"
T,5/14/25 1:01a ET,5/14/25 9:30a ET,Buy,"","1,000","$26.46"
PLTR,5/14/25 1:01a ET,5/14/25 9:30a ET,Buy,"","500","$129.03"
MS,5/14/25 1:01a ET,5/14/25 9:31a ET,Buy,"","500","$129.70"
JNJ,5/14/25 1:00a ET,5/14/25 9:30a ET,Buy,"","500","$148.67"
NKE,5/14/25 12:59a ET,5/14/25 9:30a ET,Buy,"","400","$61.98"
SCHW,5/14/25 12:59a ET,5/14/25 9:30a ET,Buy,"","300","$85.79"
ADBE,5/14/25 12:58a ET,5/14/25 9:31a ET,Buy,"","250","$396.85"
BAC,5/14/25 12:58a ET,5/14/25 9:30a ET,Buy,"","200","$44.19"
AMZN,5/14/25 12:57a ET,5/14/25 9:30a ET,Buy,"","200","$211.41"
AVGO,5/14/25 12:56a ET,5/14/25 9:30a ET,Buy,"","200","$230.23"
W,5/14/25 12:56a ET,5/14/25 9:30a ET,Buy,"","200","$38.39"
FIVE,5/14/25 12:54a ET,5/14/25 9:31a ET,Buy,"","150","$102.19"
LEN,5/14/25 12:54a ET,5/14/25 9:30a ET,Buy,"","150","$112.12"
MO,5/14/25 12:53a ET,5/14/25 9:30a ET,Buy,"","120","$56.32"
RBLX,5/14/25 12:52a ET,5/14/25 9:30a ET,Buy,"","120","$77.26"
JPM,5/14/25 12:51a ET,5/14/25 9:30a ET,Buy,"","120","$262.29"
MSFT,5/14/25 12:51a ET,5/14/25 9:31a ET,Buy,"","100","$448.27"
BA,5/14/25 12:50a ET,5/14/25 9:30a ET,Buy,"","100","$205.86"
UNH,5/14/25 12:49a ET,5/14/25 9:30a ET,Buy,"","100","$321.40"
NOW,5/14/25 12:49a ET,5/14/25 9:30a ET,Buy,"","100","$1,038.50"
KHC,5/14/25 12:48a ET,5/14/25 9:31a ET,Buy,"","100","$27.52"
DAL,5/14/25 12:47a ET,5/14/25 9:30a ET,Buy,"","100","$52.52"
XOM,5/14/25 12:47a ET,5/14/25 9:30a ET,Buy,"","100","$108.76"
NVDA,5/14/25 12:46a ET,5/14/25 9:30a ET,Buy,"","100","$133.17"
PEN,5/14/25 12:45a ET,5/14/25 9:31a ET,Buy,"","75","$295.00"
SNOW,5/14/25 12:45a ET,5/14/25 9:30a ET,Buy,"","50","$181.74"
TM,5/14/25 12:44a ET,5/14/25 9:31a ET,Buy,"","50","$188.03"
AAPL,5/14/25 12:43a ET,5/14/25 9:30a ET,Buy,"","30","$212.43"
AAPL,5/14/25 12:42a ET,,Buy,"User Initiated","20","N/A"
BRK.B,5/14/25 12:42a ET,5/14/25 9:30a ET,Buy,"","20","$511.85"
META,5/14/25 12:41a ET,5/14/25 9:30a ET,Buy,"","20","$661.21"
DIS,5/14/25 12:40a ET,5/14/25 9:30a ET,Buy,"","20","$111.37"
LULU,5/14/25 12:40a ET,5/14/25 9:31a ET,Buy,"","20","$310.39"
CVNA,5/14/25 12:39a ET,5/14/25 9:31a ET,Buy,"","15","$297.26"
COST,5/12/25 11:57p ET,5/13/25 9:30a ET,Buy,"","10","$1,013.72"
WMT,5/12/25 11:56p ET,5/13/25 9:30a ET,Buy,"","10","$96.53"
