Symbol,Order Date,Transaction Date,Type,Cancel Reason,Amount,Price
NVDA,7/18/25 10:14a ET,7/18/25 10:14a ET,Sell,"","2,400","$172.76"
SSD,7/18/25 10:14a ET,,Sell,"Insufficient Shares","1","N/A"
SSD,7/18/25 10:13a ET,,Sell,"Insufficient Shares","1","N/A"
PEP,7/18/25 10:12a ET,7/18/25 10:12a ET,Sell,"","381","$145.07"
NCLH,7/18/25 10:12a ET,7/18/25 10:12a ET,Sell,"","4,240","$23.64"
META,7/18/25 10:11a ET,7/18/25 10:11a ET,Sell,"","100","$694.40"
LLY,7/18/25 10:11a ET,7/18/25 10:11a ET,Sell,"","27","$769.83"
SSD,7/18/25 10:10a ET,7/18/25 10:26a ET,Sell,"","106","$158.80"
MAR,7/18/25 10:09a ET,7/18/25 10:10a ET,Sell,"","103","$271.89"
WMT,7/18/25 10:09a ET,7/18/25 10:09a ET,Sell,"","516","$95.13"
RCL,7/18/25 10:09a ET,7/18/25 10:09a ET,Sell,"","101","$350.90"
TSM,7/18/25 10:08a ET,7/18/25 10:08a ET,Sell,"","428","$241.73"
KO,7/18/25 10:07a ET,7/18/25 10:07a ET,Sell,"","723","$70.66"
JPM,7/18/25 10:06a ET,7/18/25 10:06a ET,Sell,"","190","$290.24"
DLTR,7/18/25 10:06a ET,7/18/25 10:06a ET,Sell,"","1,633","$109.39"
CVX,7/18/25 10:05a ET,7/18/25 10:05a ET,Sell,"","188","$152.12"
COST,7/18/25 10:05a ET,,Sell,"Insufficient Shares","1","N/A"
CVNA,7/18/25 10:04a ET,7/18/25 10:04a ET,Sell,"","192","$340.82"
COST,7/18/25 10:04a ET,7/18/25 10:05a ET,Sell,"","50","$956.70"
CCL,7/18/25 10:03a ET,7/18/25 10:03a ET,Sell,"","1,028","$29.49"
ALB,7/18/25 10:02a ET,7/18/25 10:02a ET,Sell,"","6,374","$78.67"
BITX,7/18/25 10:02a ET,7/18/25 10:02a ET,Sell,"","10,658","$64.91"
ALB,7/18/25 10:01a ET,7/18/25 10:01a ET,Buy,"","1,804","$78.96"
ADBE,7/18/25 10:01a ET,7/18/25 10:01a ET,Sell,"","78","$365.15"
AAPL,7/18/25 10:01a ET,7/18/25 10:01a ET,Sell,"","127","$210.24"
ALB,7/15/25 9:53p ET,7/16/25 9:30a ET,Buy,"","3,570","$70.15"
DG,7/8/25 9:39p ET,7/9/25 9:30a ET,Sell,"","1,379","$112.50"
BITX,7/8/25 9:38p ET,7/9/25 9:30a ET,Buy,"","10,658","$55.71"
NCLH,7/1/25 6:13p ET,7/2/25 9:30a ET,Buy,"","4,240","$21.04"
