Symbol,Order Date,Transaction Date,Type,Cancel Reason,Amount,Price
VSTM,7/23/25 12:15p ET,7/23/25 12:15p ET,Buy,"","20,000","$5.43"
AMPX,7/23/25 12:12p ET,7/23/25 12:12p ET,Buy,"","10,000","$8.06"
OPEN,7/23/25 12:12p ET,7/23/25 12:12p ET,Buy,"","200,000","$2.23"
CURI,7/23/25 12:11p ET,7/23/25 12:12p ET,Buy,"","200,000","$4.62"
WDH,7/23/25 12:10p ET,7/23/25 12:14p ET,Buy,"","250,000","$1.73"
NXTT,7/23/25 10:57a ET,7/23/25 11:02a ET,Sell,"","1,000","$2.34"
NRG,7/23/25 10:57a ET,7/23/25 10:57a ET,Sell,"","100","$163.00"
NVDA,7/23/25 10:57a ET,7/23/25 10:57a ET,Sell,"","550","$169.30"
AAP,7/22/25 8:59p ET,7/23/25 9:30a ET,Sell,"","2,199","$66.20"
ZION,7/22/25 8:59p ET,7/23/25 9:30a ET,Sell,"","100","$57.29"
WMT,7/22/25 8:58p ET,7/23/25 9:30a ET,Sell,"","1","$95.91"
UNH,7/22/25 8:58p ET,7/23/25 9:30a ET,Sell,"","137","$287.30"
UNCY,7/22/25 8:58p ET,7/23/25 9:30a ET,Sell,"","26,308","$4.49"
TSLA,7/22/25 8:57p ET,7/23/25 9:30a ET,Sell,"","160","$330.87"
TNXP,7/22/25 8:57p ET,7/23/25 9:30a ET,Sell,"","1,045","$44.98"
TNGX,7/22/25 8:56p ET,7/23/25 9:30a ET,Sell,"","12,761","$6.83"
SNOW,7/22/25 8:56p ET,7/23/25 9:30a ET,Sell,"","125","$211.77"
SHEL,7/22/25 8:56p ET,7/23/25 9:30a ET,Sell,"","50","$71.82"
RGTI,7/22/25 8:56p ET,7/23/25 9:30a ET,Sell,"","4,420","$15.58"
RGC,7/22/25 8:55p ET,7/23/25 9:30a ET,Sell,"","759","$13.75"
QUBT,7/22/25 8:55p ET,7/23/25 9:30a ET,Sell,"","1,810","$17.16"
QS,7/22/25 8:54p ET,7/23/25 9:30a ET,Sell,"","1,500","$13.21"
QBTS,7/22/25 8:54p ET,7/23/25 9:30a ET,Sell,"","11,500","$18.27"
PLTR,7/22/25 8:53p ET,7/23/25 9:30a ET,Sell,"","100","$149.90"
ORCL,7/22/25 8:53p ET,7/23/25 9:30a ET,Sell,"","50","$239.95"
OKUR,7/22/25 8:52p ET,7/23/25 9:30a ET,Sell,"","30,000","$2.25"
OKLO,7/22/25 8:52p ET,7/23/25 9:30a ET,Sell,"","952","$63.55"
NKTX,7/22/25 8:51p ET,7/23/25 9:30a ET,Sell,"","35,221","$2.10"
NKTR,7/22/25 8:51p ET,7/23/25 9:30a ET,Sell,"","400","$24.85"
NKE,7/22/25 8:51p ET,7/23/25 9:30a ET,Sell,"","476","$76.15"
NEGG,7/22/25 8:50p ET,7/23/25 9:30a ET,Sell,"","1,121","$30.60"
MLTX,7/22/25 8:50p ET,7/23/25 9:30a ET,Sell,"","200","$54.17"
MIR,7/22/25 8:50p ET,7/23/25 9:30a ET,Sell,"","1,000","$21.32"
MGX,7/22/25 8:49p ET,7/23/25 9:30a ET,Sell,"","30,826","$2.35"
META,7/22/25 8:49p ET,7/23/25 9:30a ET,Sell,"","50","$706.37"
LHX,7/22/25 8:49p ET,7/23/25 9:30a ET,Sell,"","570","$264.88"
KTOS,7/22/25 8:49p ET,7/23/25 9:30a ET,Sell,"","300","$55.41"
KNSA,7/22/25 8:48p ET,7/23/25 9:30a ET,Sell,"","1,015","$27.69"
KEP,7/22/25 8:48p ET,7/23/25 9:30a ET,Sell,"","1,000","$13.79"
IONQ,7/22/25 8:48p ET,7/23/25 9:30a ET,Sell,"","493","$42.47"
HURN,7/22/25 8:47p ET,7/23/25 9:30a ET,Sell,"","165","$131.66"
GRAB,7/22/25 8:47p ET,7/23/25 9:30a ET,Sell,"","7,199","$5.49"
GENI,7/22/25 8:46p ET,7/23/25 9:30a ET,Sell,"","4,222","$10.75"
GELS,7/22/25 8:46p ET,7/23/25 9:30a ET,Sell,"","12,191","$1.94"
CYBN,7/22/25 8:43p ET,7/23/25 9:32a ET,Sell,"","8,855","$7.83"
CRWV,7/22/25 8:43p ET,7/23/25 9:30a ET,Sell,"","50","$132.00"
COST,7/22/25 8:42p ET,7/23/25 9:30a ET,Sell,"","4","$942.38"
CLS,7/22/25 8:42p ET,7/23/25 9:30a ET,Sell,"","40","$158.49"
CFRHF,7/22/25 8:42p ET,7/23/25 9:45a ET,Sell,"","89","$182.70"
BYON,7/22/25 8:42p ET,7/23/25 9:30a ET,Sell,"","10,000","$10.95"
BTDR,7/22/25 8:41p ET,7/23/25 9:30a ET,Sell,"","5,000","$14.54"
AVAV,7/22/25 8:41p ET,7/23/25 9:30a ET,Sell,"","50","$264.27"
AMZN,7/22/25 8:40p ET,7/23/25 9:30a ET,Sell,"","680","$228.46"
