Symbol,Order Date,Transaction Date,Type,Cancel Reason,Amount,Price
CODA,7/22/25 8:11p ET,7/23/25 3:10p ET,Sell,"","5,000","$8.00"
CONL,7/22/25 8:09p ET,,Sell,"User Initiated","300","N/A"
OPEN,7/21/25 3:34p ET,7/22/25 9:30a ET,Sell,"","20,044","$3.89"
OPEN,7/21/25 3:30p ET,7/21/25 3:30p ET,Short,"","27,161","$3.07"
OPEN,7/21/25 3:29p ET,7/21/25 3:29p ET,Buy,"","20,044","$2.92"
OPEN,7/21/25 3:25p ET,,Short,"User Initiated","10,002","N/A"
OPEN,7/21/25 3:24p ET,,Sell,"User Initiated","29,883","N/A"
OPEN,7/21/25 3:21p ET,7/21/25 3:21p ET,Buy,"","19,611","$3.80"
OPEN,7/21/25 3:19p ET,7/21/25 3:21p ET,Buy,"","10,272","$3.72"
OPEN,7/21/25 3:15p ET,7/21/25 3:15p ET,Cover,"","20,646","$3.98"
OPEN,7/21/25 3:09p ET,7/21/25 3:12p ET,Short,"","20,646","$3.11"
CONL,7/18/25 3:45p ET,7/18/25 3:45p ET,Buy,"","300","$63.88"
AMD,7/18/25 3:44p ET,7/18/25 3:44p ET,Buy,"","100","$157.24"
COIN,7/18/25 3:44p ET,7/18/25 3:44p ET,Buy,"","60","$417.00"
SSII,7/18/25 3:44p ET,7/18/25 3:44p ET,Buy,"","3,500","$8.12"
SSY,7/18/25 3:30p ET,7/18/25 3:30p ET,Buy,"","25,000","$1.17"
USAU,7/18/25 3:26p ET,7/18/25 3:28p ET,Sell,"","3,000","$11.22"
BITX,7/18/25 3:23p ET,7/18/25 3:23p ET,Sell,"","500","$63.75"
AVGO,7/16/25 12:21p ET,7/16/25 12:21p ET,Buy,"","75","$277.14"
SOFX,7/16/25 12:20p ET,7/16/25 12:20p ET,Buy,"","750","$27.15"
BITX,7/16/25 12:19p ET,7/16/25 12:19p ET,Buy,"","500","$65.13"
BITF,7/15/25 12:49p ET,7/15/25 12:49p ET,Buy,"","10,000","$1.04"
DAPP,7/15/25 12:46p ET,7/15/25 12:49p ET,Sell,"","3,000","$17.85"
RGC,7/14/25 12:32p ET,7/14/25 12:34p ET,Sell,"","159","$13.76"
SOFX,7/14/25 12:32p ET,7/14/25 12:38p ET,Buy,"","750","$27.10"
TNGX,7/14/25 12:31p ET,7/14/25 12:33p ET,Buy,"","5,000","$6.23"
OKUR,7/14/25 12:31p ET,7/14/25 12:47p ET,Buy,"","11,500","$2.57"
IONQ,7/11/25 3:36p ET,7/11/25 3:36p ET,Sell,"","200","$42.46"
XFOR,7/11/25 3:32p ET,7/11/25 3:34p ET,Buy,"","35,000","$1.42"
BITF,7/11/25 3:31p ET,7/11/25 3:31p ET,Buy,"","100,000","$1.08"
WMT,7/11/25 3:28p ET,,Sell,"User Initiated","550","N/A"
DDOG,7/11/25 3:27p ET,7/24/25 9:34a ET,Sell,"","500","$147.78"
VST,7/9/25 9:36p ET,7/10/25 9:30a ET,Buy,"","200","$196.71"
ACDVF,7/9/25 9:23p ET,7/10/25 9:45a ET,Buy,"","1,750","$16.58"
USAU,7/9/25 9:23p ET,7/10/25 9:30a ET,Buy,"","1,500","$12.24"
QBTS,7/9/25 9:21p ET,7/10/25 9:30a ET,Sell,"","2,050","$16.38"
QBTS,7/9/25 9:20p ET,,Sell,"Insufficient Shares","1","N/A"
DDOG,7/2/25 9:21p ET,7/3/25 9:30a ET,Buy,"","500","$147.56"
COST,7/2/25 9:18p ET,7/3/25 9:30a ET,Sell,"","75","$982.40"
AAPL,7/2/25 9:17p ET,7/3/25 9:30a ET,Cover,"","200","$212.15"
STX,7/2/25 3:42p ET,7/8/25 10:09a ET,Sell,"","500","$143.84"
OKLO,7/2/25 10:16a ET,7/2/25 10:16a ET,Sell,"","650","$51.98"
UBER,7/2/25 10:15a ET,7/2/25 10:15a ET,Buy,"","500","$93.54"
CWH,7/2/25 10:15a ET,7/2/25 10:15a ET,Buy,"","1,499","$18.54"
CWH,7/2/25 10:14a ET,7/2/25 10:15a ET,Buy,"","1","$18.54"
BBW,7/2/25 10:14a ET,7/2/25 10:24a ET,Buy,"","1,000","$51.87"
QBTS,7/2/25 10:12a ET,7/2/25 10:12a ET,Cover,"","1,000","$15.25"
AVGO,6/24/25 12:39p ET,6/24/25 12:39p ET,Buy,"","200","$262.25"
TFPM,6/24/25 12:37p ET,6/24/25 12:39p ET,Buy,"","1,500","$24.44"
WPM,6/24/25 12:37p ET,6/24/25 12:37p ET,Buy,"","550","$88.70"
DAPP,6/24/25 12:36p ET,6/24/25 12:36p ET,Buy,"","3,200","$15.56"
MMTM,6/24/25 12:35p ET,6/24/25 1:35p ET,Buy,"","110","$262.08"
MTUM,6/24/25 12:34p ET,6/24/25 12:34p ET,Buy,"","160","$236.46"
OKLO,6/24/25 12:33p ET,6/24/25 12:33p ET,Buy,"","400","$60.87"
RGTX,6/24/25 12:32p ET,6/24/25 12:33p ET,Sell,"","250","$30.66"
NSRGF,6/24/25 12:28p ET,6/24/25 1:16p ET,Sell,"","100","$102.25"
BRVMF,6/24/25 11:10a ET,6/24/25 12:16p ET,Buy,"","12,500","$2.08"
USOI,6/24/25 11:07a ET,6/24/25 11:09a ET,Sell,"","250","$53.00"
BRK.B,6/24/25 11:05a ET,6/24/25 11:05a ET,Sell,"","20","$491.54"
