Symbol,Order Date,Transaction Date,Type,Cancel Reason,Amount,Price
QBTS,7/23/25 3:59p ET,,Buy,"User Initiated","3,000","N/A"
OPEN,7/23/25 3:57p ET,7/23/25 3:57p ET,Cover,"","64,485","$2.29"
RNAZ,7/23/25 3:50p ET,7/23/25 3:50p ET,Cover,"","9,804","$11.38"
OXY,7/23/25 3:48p ET,7/23/25 3:48p ET,Buy,"","2,500","$44.47"
QBTS,7/23/25 3:45p ET,7/23/25 3:45p ET,Buy,"","3,000","$20.19"
BTC,7/23/25 3:39p ET,7/23/25 3:39p ET,Buy,"","1,000","$52.46"
NVDA,7/23/25 3:38p ET,7/23/25 3:38p ET,Buy,"","300","$170.46"
OPEN,7/23/25 3:14p ET,7/23/25 3:15p ET,Sell,"","19","$2.33"
OPEN,7/23/25 3:14p ET,7/23/25 3:14p ET,Short,"","64,485","$2.33"
ANEB,7/23/25 3:03p ET,7/23/25 3:03p ET,Cover,"","62,135","$3.36"
QBTS,7/23/25 2:59p ET,7/23/25 2:59p ET,Buy,"","3,000","$19.54"
INTU,7/23/25 2:57p ET,7/23/25 2:57p ET,Buy,"","130","$776.90"
CEG,7/23/25 2:56p ET,7/23/25 2:56p ET,Buy,"","250","$325.00"
OXY,7/23/25 2:54p ET,7/23/25 2:54p ET,Buy,"","5,000","$44.44"
ROKU,7/23/25 2:53p ET,7/23/25 2:53p ET,Buy,"","1,000","$90.35"
AMD,7/23/25 2:52p ET,7/23/25 2:52p ET,Buy,"","945","$158.45"
ABVX,7/23/25 2:49p ET,7/23/25 2:49p ET,Cover,"","2,400","$68.46"
NVDA,7/23/25 2:01p ET,7/23/25 2:01p ET,Buy,"","1,200","$170.22"
EADSF,7/23/25 1:41p ET,7/23/25 2:22p ET,Buy,"","100","$216.70"
INTU,7/23/25 1:41p ET,7/23/25 1:41p ET,Buy,"","75","$774.86"
WBD,7/23/25 1:40p ET,7/23/25 1:40p ET,Buy,"","4,800","$13.23"
RTX,7/23/25 1:39p ET,7/23/25 1:39p ET,Buy,"","100","$154.65"
META,7/23/25 1:38p ET,7/23/25 1:38p ET,Buy,"","200","$712.76"
ICG,7/23/25 1:18p ET,7/23/25 1:44p ET,Sell,"","73,703","$2.85"
ANEB,7/23/25 12:48p ET,7/23/25 12:48p ET,Short,"","62,135","$3.24"
ABVX,7/23/25 12:47p ET,7/23/25 12:47p ET,Short,"","2,400","$65.67"
RNAZ,7/23/25 12:46p ET,7/23/25 12:46p ET,Short,"","9,804","$15.28"
KURE,7/21/25 3:56p ET,7/21/25 3:59p ET,Sell,"","4,000","$18.72"
OPEN,7/21/25 3:54p ET,7/21/25 3:54p ET,Sell,"","1","$3.39"
OPEN,7/21/25 3:52p ET,7/21/25 3:52p ET,Buy,"","20","$3.36"
BGL,7/21/25 3:50p ET,7/21/25 3:52p ET,Cover,"","28,683","$14.76"
OPEN,7/21/25 3:50p ET,7/21/25 3:50p ET,Cover,"","145,985","$3.28"
BLK,7/21/25 3:34p ET,7/21/25 3:35p ET,Sell,"","20","$1,096.57"
COIN,7/21/25 3:33p ET,7/21/25 3:33p ET,Sell,"","185","$418.88"
TXN,7/21/25 3:32p ET,7/21/25 3:32p ET,Sell,"","250","$215.16"
BITX,7/21/25 3:31p ET,7/21/25 3:31p ET,Sell,"","2,200","$62.86"
PTIR,7/21/25 3:30p ET,7/21/25 3:30p ET,Sell,"","1,800","$23.75"
OPEN,7/21/25 3:27p ET,7/21/25 3:27p ET,Short,"","145,985","$2.83"
SXTC,7/21/25 3:26p ET,7/21/25 3:47p ET,Sell,"","22,000","$1.62"
PARA,7/21/25 3:26p ET,7/21/25 3:26p ET,Sell,"","3,050","$12.98"
NVDA,7/21/25 3:26p ET,7/21/25 3:26p ET,Sell,"","1,885","$172.16"
TNGX,7/21/25 3:25p ET,7/21/25 3:26p ET,Sell,"","20,000","$6.65"
MP,7/21/25 3:25p ET,7/21/25 3:25p ET,Sell,"","1,650","$60.18"
CLSK,7/21/25 3:25p ET,7/21/25 3:25p ET,Sell,"","825","$12.59"
AVGO,7/21/25 3:24p ET,7/21/25 3:24p ET,Sell,"","600","$288.58"
AMD,7/21/25 3:24p ET,7/21/25 3:24p ET,Sell,"","750","$157.92"
BGL,7/21/25 11:51a ET,7/21/25 11:54a ET,Short,"","28,683","$15.03"
OXY,7/21/25 11:23a ET,7/21/25 11:23a ET,Sell,"","6,506","$43.39"
BGL,7/21/25 11:21a ET,7/21/25 11:28a ET,Sell,"","9,000","$15.26"
DXYZ,7/17/25 10:02a ET,7/17/25 10:02a ET,Sell,"","262.74","$34.25"
CLSK,7/16/25 2:09p ET,7/16/25 2:09p ET,Buy,"","825","$12.63"
