Symbol,Order Date,Transaction Date,Type,Cancel Reason,Amount,Price
RIVN,7/22/25 7:30p ET,7/23/25 9:30a ET,Sell,"","1,830","$14.21"
WBD,7/22/25 7:28p ET,7/23/25 9:30a ET,Sell,"","16,825","$12.90"
IBM,7/22/25 7:27p ET,7/23/25 9:30a ET,Sell,"","119","$284.44"
PAC,7/22/25 7:25p ET,7/23/25 9:38a ET,Sell,"","109","$219.39"
TMUS,7/22/25 7:24p ET,7/23/25 9:30a ET,Sell,"","50","$233.17"
CI,7/22/25 10:37a ET,7/22/25 10:37a ET,Sell,"","42","$299.89"
PAC,7/22/25 10:30a ET,,Sell,"User Initiated","50","N/A"
PAC,7/22/25 10:29a ET,,Sell,"User Initiated","50","N/A"
CHWY,7/22/25 10:28a ET,7/22/25 10:28a ET,Sell,"","59","$38.17"
CHWY,7/22/25 10:27a ET,7/22/25 10:27a ET,Sell,"","1","$38.14"
TMUS,7/21/25 5:47p ET,7/22/25 9:30a ET,Sell,"","150","$233.64"
TRV,7/21/25 5:45p ET,7/22/25 9:30a ET,Sell,"","91","$265.60"
CHWY,7/21/25 5:43p ET,7/22/25 9:30a ET,Sell,"","200","$37.95"
PLMR,7/21/25 5:42p ET,7/22/25 9:30a ET,Sell,"","155","$138.93"
AXON,7/21/25 5:41p ET,7/22/25 9:30a ET,Sell,"","100","$749.01"
KO,7/16/25 8:30p ET,7/17/25 9:30a ET,Sell,"","346","$69.80"
TMUS,7/16/25 8:19p ET,7/17/25 9:30a ET,Buy,"","100","$227.61"
WAVE,7/16/25 8:16p ET,7/17/25 9:30a ET,Sell,"","10,000","$6.58"
SEI,7/16/25 8:14p ET,7/17/25 9:30a ET,Sell,"","5,000","$29.52"
CPRX,7/16/25 8:12p ET,7/17/25 9:30a ET,Sell,"","1,012","$21.18"
WBD,7/9/25 1:34p ET,7/9/25 1:34p ET,Buy,"","16,825","$11.58"
WAVE,7/9/25 1:25p ET,7/9/25 1:26p ET,Buy,"","20,752","$6.78"
NUE,7/9/25 1:23p ET,7/9/25 1:24p ET,Buy,"","186","$139.67"
IBM,7/9/25 1:21p ET,7/9/25 1:21p ET,Buy,"","119","$289.44"
RIO,7/9/25 1:15p ET,7/9/25 1:15p ET,Buy,"","3,300","$58.79"
OKUR,7/9/25 1:10p ET,7/9/25 1:14p ET,Sell,"","90,000","$2.56"
OKUR,6/14/25 11:27a ET,,Short,"User Initiated","90,000","N/A"
MRVL,6/11/25 12:57a ET,6/11/25 9:30a ET,Buy,"","180","$69.55"
CHWY,6/11/25 12:56a ET,6/11/25 9:30a ET,Buy,"","260","$41.50"
DELL,6/11/25 12:47a ET,6/11/25 9:30a ET,Sell,"","100","$114.43"
KO,6/11/25 12:40a ET,6/11/25 9:30a ET,Sell,"","1","$72.27"
SVNDY,6/11/25 12:33a ET,6/11/25 9:45a ET,Sell,"","100","$15.00"
HOOD,6/6/25 11:11p ET,6/9/25 9:30a ET,Buy,"","150","$72.06"
AXON,6/6/25 11:05p ET,6/9/25 9:30a ET,Buy,"","100","$795.83"
NVDA,6/6/25 10:59p ET,6/9/25 9:30a ET,Buy,"","500","$143.27"
