Symbol,Order Date,Transaction Date,Type,Cancel Reason,Amount,Price
RBLX,7/16/25 9:55p ET,7/17/25 9:30a ET,Buy,"","199","$118.80"
GD,7/16/25 9:54p ET,7/17/25 9:30a ET,Buy,"","20","$299.83"
VEEV,7/16/25 9:53p ET,7/17/25 9:31a ET,Buy,"","25","$281.34"
TOST,7/16/25 9:53p ET,7/17/25 9:30a ET,Buy,"","200","$46.98"
ACMR,7/16/25 9:52p ET,7/17/25 9:30a ET,Buy,"","250","$29.66"
UAL,7/16/25 9:52p ET,7/17/25 9:30a ET,Buy,"","120","$91.89"
DAL,7/16/25 9:51p ET,7/17/25 9:30a ET,Buy,"","180","$56.30"
ROAD,7/16/25 9:51p ET,7/17/25 9:30a ET,Buy,"","100","$111.08"
ELF,7/16/25 9:43p ET,7/17/25 9:30a ET,Sell,"","160","$108.03"
IMNN,7/16/25 9:42p ET,7/17/25 9:30a ET,Sell,"","22,000","$0.50"
GIS,7/16/25 9:42p ET,7/17/25 9:30a ET,Sell,"","375","$50.34"
RBLX,7/9/25 10:16p ET,7/10/25 9:30a ET,Buy,"","250","$106.87"
MELI,7/9/25 10:12p ET,7/10/25 9:30a ET,Buy,"","15","$2,438.66"
ROAD,7/9/25 10:12p ET,7/10/25 9:30a ET,Buy,"","350","$105.04"
PLTR,7/9/25 10:11p ET,7/10/25 9:30a ET,Buy,"","350","$143.38"
SHOP,6/25/25 11:06p ET,6/26/25 9:30a ET,Buy,"","440","$113.52"
CRWV,6/25/25 11:05p ET,6/26/25 9:30a ET,Buy,"","315","$164.15"
CRWV,6/25/25 11:04p ET,,Buy,"User Initiated","315","N/A"
AMDL,6/25/25 11:02p ET,6/26/25 9:30a ET,Buy,"","2,950","$9.02"
NVDA,6/25/25 11:01p ET,6/26/25 9:30a ET,Buy,"","475","$155.98"
ORCL,6/25/25 11:00p ET,6/26/25 9:30a ET,Buy,"","200","$212.00"
PLTR,6/25/25 11:00p ET,6/26/25 9:30a ET,Buy,"","360","$144.97"
TSLA,6/25/25 10:59p ET,6/26/25 9:30a ET,Buy,"","73","$324.61"
PLTR,6/25/25 10:59p ET,6/26/25 9:30a ET,Buy,"","360","$144.97"
JBLU,6/25/25 10:55p ET,6/26/25 9:30a ET,Sell,"","6,000","$4.21"
UNH,6/25/25 10:54p ET,6/26/25 9:30a ET,Sell,"","100","$302.57"
RGTI,6/25/25 10:54p ET,6/26/25 9:30a ET,Sell,"","2,100","$11.24"
RGC,6/20/25 6:19p ET,6/23/25 9:30a ET,Cover,"","900","$30.00"
QUBT,6/18/25 2:09p ET,6/18/25 2:24p ET,Cover,"","2,500","$19.18"
RGC,6/18/25 2:32a ET,6/18/25 9:30a ET,Short,"","900","$60.01"
QUBT,6/18/25 2:32a ET,,Cover,"User Initiated","2,500","N/A"
QUBT,6/16/25 10:21p ET,6/17/25 9:30a ET,Short,"","2,500","$19.89"
IMNN,6/11/25 11:12p ET,6/12/25 9:30a ET,Buy,"","22,000","$1.66"
HD,6/11/25 11:08p ET,6/12/25 9:30a ET,Buy,"","30","$361.06"
HD,6/11/25 11:07p ET,6/12/25 9:30a ET,Sell,"","58","$361.06"
RGTI,6/11/25 11:06p ET,6/12/25 9:30a ET,Buy,"","2,100","$12.65"
RGTI,6/11/25 11:06p ET,6/12/25 9:30a ET,Sell,"","2,100","$12.65"
ELF,6/11/25 11:04p ET,6/12/25 9:30a ET,Buy,"","160","$124.25"
XOM,6/5/25 12:26a ET,6/5/25 9:30a ET,Sell,"","115","$102.97"
SWK,6/5/25 12:25a ET,6/5/25 9:30a ET,Sell,"","350","$65.75"
PLTR,6/5/25 12:25a ET,6/5/25 9:30a ET,Buy,"","230","$129.32"
NVDA,6/5/25 12:24a ET,6/5/25 9:30a ET,Buy,"","150","$142.15"
CRWV,6/5/25 12:24a ET,6/5/25 9:30a ET,Buy,"","130","$155.73"
COST,6/5/25 12:23a ET,6/5/25 9:30a ET,Buy,"","20","$1,050.00"
UL,6/5/25 12:22a ET,6/5/25 9:30a ET,Buy,"","320","$63.31"
ACMR,6/5/25 12:22a ET,6/5/25 9:30a ET,Buy,"","900","$23.15"
