Symbol,Order Date,Transaction Date,Type,Cancel Reason,Amount,Price
BITX,7/24/25 1:28p ET,7/24/25 1:55p ET,Sell,"","120,000","$65.50"
BITX,7/23/25 11:29a ET,7/23/25 11:29a ET,Buy,"","120,000","$64.03"
OPEN,7/21/25 3:39p ET,7/21/25 3:39p ET,Cover,"","944,450","$3.10"
OPEN,7/21/25 3:35p ET,,Cover,"User Initiated","944,450","N/A"
OPEN,7/21/25 3:33p ET,7/21/25 3:33p ET,Short,"","944,450","$2.88"
OPEN,7/21/25 3:31p ET,7/21/25 3:50p ET,Sell,"","224,215","$3.30"
OPEN,7/21/25 3:30p ET,7/21/25 3:30p ET,Buy,"","224,215","$3.15"
OPEN,7/21/25 3:30p ET,7/21/25 3:30p ET,Cover,"","1,400,000","$3.07"
OPEN,7/21/25 3:28p ET,,Cover,"User Initiated","1,400,000","N/A"
OPEN,7/21/25 3:26p ET,7/21/25 3:26p ET,Short,"","1,400,000","$2.86"
OPEN,7/21/25 3:19p ET,7/21/25 3:22p ET,Cover,"","1,800,000","$3.55"
OPEN,7/21/25 3:18p ET,7/21/25 3:18p ET,Short,"","1,800,000","$3.90"
OPEN,7/21/25 3:04p ET,7/21/25 3:12p ET,Cover,"","900,000","$3.12"
OPEN,7/21/25 3:00p ET,7/21/25 3:00p ET,Short,"","900,000","$4.42"
BITX,7/21/25 2:49p ET,7/21/25 2:49p ET,Sell,"","36,880","$63.09"
SOFX,7/21/25 2:48p ET,7/21/25 2:50p ET,Sell,"","14,255","$27.19"
AMDL,7/21/25 2:44p ET,,Sell,"Insufficient Shares","1","N/A"
AMDL,7/21/25 2:43p ET,7/21/25 2:44p ET,Sell,"","20,000","$10.50"
S,7/21/25 2:43p ET,7/21/25 2:43p ET,Sell,"","5,000","$20.59"
FN,7/21/25 2:43p ET,7/21/25 2:44p ET,Sell,"","559","$312.57"
NVDL,7/21/25 2:42p ET,7/21/25 2:42p ET,Sell,"","3,550","$83.23"
CONL,7/21/25 2:42p ET,7/21/25 2:42p ET,Sell,"","5,444","$66.43"
AI,7/21/25 2:42p ET,7/21/25 2:42p ET,Sell,"","2,000","$28.76"
SHOP,7/21/25 2:41p ET,7/21/25 2:42p ET,Sell,"","1,000","$129.02"
SOUX,7/21/25 2:41p ET,7/21/25 2:42p ET,Sell,"","3,709","$29.65"
PTIR,7/21/25 2:41p ET,7/21/25 2:41p ET,Sell,"","5,999","$23.92"
NOW,7/21/25 2:40p ET,7/21/25 2:41p ET,Sell,"","150","$964.21"
BBAI,7/21/25 2:39p ET,7/21/25 2:39p ET,Sell,"","8,000","$7.52"
CRM,7/21/25 2:39p ET,7/21/25 2:39p ET,Sell,"","1,900","$263.83"
SOFX,7/20/25 9:21p ET,,Sell,"User Initiated","14,255","N/A"
CRM,7/17/25 12:42p ET,7/17/25 12:42p ET,Buy,"","600","$259.47"
RGC,7/16/25 2:52p ET,7/16/25 2:52p ET,Cover,"","10,000","$15.07"
RGC,7/16/25 11:06a ET,7/16/25 11:07a ET,Short,"","10,000","$14.58"
CC,7/16/25 11:05a ET,7/16/25 11:06a ET,Sell,"","10,001","$12.93"
AMDL,7/16/25 9:32a ET,7/16/25 9:32a ET,Buy,"","20,000","$10.13"
RGC,7/15/25 11:25a ET,7/15/25 11:25a ET,Cover,"","9,550","$15.00"
BITX,7/15/25 7:53a ET,7/15/25 9:30a ET,Buy,"","2,400","$64.01"
XFOR,7/14/25 2:25p ET,7/14/25 2:26p ET,Cover,"","11,110","$1.46"
XFOR,7/14/25 1:41p ET,7/14/25 1:42p ET,Cover,"","100,000","$1.46"
SOUX,7/14/25 11:13a ET,7/14/25 11:14a ET,Buy,"","401","$25.99"
CRM,7/12/25 6:05p ET,7/14/25 9:30a ET,Buy,"","296","$258.25"
XFOR,7/12/25 5:44p ET,7/14/25 9:30a ET,Short,"","100,000","$1.43"
RGC,7/12/25 5:42p ET,7/14/25 9:30a ET,Short,"","3,550","$14.30"
NOW,7/12/25 5:42p ET,7/14/25 9:30a ET,Buy,"","100","$935.14"
RCKT,7/10/25 1:21p ET,7/10/25 1:23p ET,Cover,"","13,333","$3.18"
BITX,7/10/25 1:11p ET,7/10/25 1:11p ET,Buy,"","4,000","$59.53"
CYBR,7/10/25 1:11p ET,7/10/25 1:11p ET,Sell,"","200","$387.55"
SOFX,7/10/25 10:51a ET,,Sell,"User Initiated","11,255","N/A"
HOOD,7/9/25 11:44a ET,7/9/25 11:44a ET,Cover,"","500","$93.75"
WTAI,7/8/25 9:54p ET,7/9/25 9:30a ET,Sell,"","1,000","$24.71"
CC,7/8/25 9:49p ET,7/9/25 9:30a ET,Buy,"","10,000","$13.82"
CC,7/8/25 8:04p ET,7/9/25 9:30a ET,Buy,"","1","$13.82"
SOUX,7/7/25 12:04p ET,7/7/25 12:05p ET,Buy,"","3,308","$28.48"
RGC,7/7/25 11:25a ET,7/7/25 11:25a ET,Short,"","6,000","$20.55"
FN,7/2/25 9:18p ET,7/3/25 9:30a ET,Buy,"","359","$291.30"
CRM,7/2/25 9:17p ET,7/3/25 9:30a ET,Buy,"","404","$269.32"
SOFX,7/2/25 9:14p ET,7/3/25 9:30a ET,Buy,"","6,255","$20.51"
NVDL,7/2/25 9:14p ET,7/3/25 9:30a ET,Buy,"","2,550","$70.52"
CONL,7/2/25 9:12p ET,7/3/25 9:30a ET,Buy,"","3,044","$45.65"
BITX,6/28/25 1:48a ET,6/30/25 9:30a ET,Buy,"","5,000","$54.23"
PTIR,6/28/25 1:47a ET,6/30/25 9:30a ET,Buy,"","400","$298.04"
RGC,6/27/25 10:46p ET,7/2/25 10:32a ET,Cover,"","6,500","$11.00"
PTIR,6/27/25 2:21p ET,6/27/25 2:21p ET,Cover,"","800","$302.69"
CONL,6/27/25 11:56a ET,6/27/25 11:56a ET,Buy,"","2,400","$47.44"
BITX,6/27/25 11:26a ET,6/27/25 11:26a ET,Buy,"","17,009","$53.27"
PTIR,6/27/25 11:07a ET,6/27/25 11:08a ET,Short,"","800","$298.12"
