Symbol,Order Date,Transaction Date,Type,Cancel Reason,Amount,Price
VZ,7/22/25 9:05p ET,7/23/25 9:30a ET,Sell,"","1,804","$42.40"
AAPL,7/22/25 9:02p ET,7/23/25 9:30a ET,Sell,"","648","$215.05"
TSLA,7/16/25 1:34p ET,7/16/25 1:34p ET,Sell,"","413","$320.16"
RBLX,7/16/25 11:46a ET,7/16/25 11:46a ET,Sell,"","1,143","$117.81"
DIS,7/8/25 12:13p ET,7/8/25 12:13p ET,Buy,"","822","$122.44"
AAPL,7/7/25 3:33p ET,7/7/25 3:33p ET,Buy,"","648","$209.46"
TSLA,7/7/25 3:32p ET,7/7/25 3:32p ET,Buy,"","413","$294.17"
VZ,7/7/25 11:47a ET,7/7/25 11:47a ET,Buy,"","1,804","$42.89"
RBLX,7/7/25 11:46a ET,7/7/25 11:46a ET,Buy,"","1,143","$107.20"
MO,7/7/25 11:46a ET,7/7/25 11:46a ET,Buy,"","1,736","$59.77"
HNGE,7/7/25 11:45a ET,7/7/25 11:45a ET,Cover,"","14,960","$41.55"
F,7/2/25 10:11a ET,7/2/25 10:11a ET,Buy,"","11,217","$11.46"
BAC,7/2/25 10:11a ET,7/2/25 10:11a ET,Buy,"","4,594","$48.24"
CELH,7/1/25 11:02a ET,7/1/25 11:02a ET,Buy,"","2,525","$47.04"
DINO,7/1/25 11:01a ET,7/1/25 11:02a ET,Sell,"","5,813","$41.42"
HNGE,7/1/25 11:01a ET,7/1/25 11:01a ET,Short,"","3,468","$46.81"
IONQ,6/30/25 11:31a ET,6/30/25 11:31a ET,Sell,"","2,079","$42.85"
DINO,6/26/25 12:19p ET,6/26/25 12:19p ET,Buy,"","5,813","$41.73"
BA,6/26/25 11:13a ET,6/26/25 11:13a ET,Sell,"","1,950","$203.96"
ANET,6/26/25 9:49a ET,6/26/25 9:49a ET,Sell,"","1,240","$99.04"
ANET,6/25/25 12:57p ET,6/25/25 12:57p ET,Buy,"","1,240","$96.06"
BA,6/25/25 12:35p ET,6/25/25 12:35p ET,Buy,"","1,053","$199.05"
CHYM,6/25/25 12:34p ET,6/25/25 12:34p ET,Sell,"","17,208","$32.86"
HNGE,6/25/25 9:49a ET,6/25/25 9:49a ET,Short,"","2,663","$46.26"
CHYM,6/24/25 9:42p ET,6/25/25 9:30a ET,Buy,"","8,843","$29.75"
HNGE,6/20/25 11:19a ET,6/20/25 11:19a ET,Short,"","2,410","$41.99"
HNGE,6/18/25 9:57a ET,6/18/25 9:57a ET,Short,"","3,753","$38.52"
BAC,6/18/25 9:57a ET,6/18/25 9:57a ET,Sell,"","2,711","$44.79"
JPM,6/18/25 9:56a ET,6/18/25 9:56a ET,Sell,"","904","$274.35"
BA,6/17/25 10:37a ET,6/17/25 10:37a ET,Buy,"","521","$200.41"
CHYM,6/17/25 10:03a ET,6/17/25 10:03a ET,Buy,"","6,514","$35.56"
FLEX,6/17/25 9:59a ET,6/17/25 10:00a ET,Sell,"","3,669","$45.66"
RGC,6/16/25 11:27a ET,6/16/25 11:27a ET,Sell,"","3,465","$49.11"
RGC,6/16/25 11:23a ET,6/16/25 11:23a ET,Buy,"","3,465","$48.79"
RGC,6/16/25 11:22a ET,6/16/25 11:22a ET,Sell,"","3,320","$46.78"
RGC,6/16/25 11:20a ET,6/16/25 11:20a ET,Buy,"","3,320","$45.80"
HNGE,6/16/25 10:55a ET,6/16/25 10:56a ET,Short,"","2,666","$35.86"
FLEX,6/16/25 10:54a ET,6/16/25 10:54a ET,Buy,"","3,669","$43.95"
ARKK,6/16/25 10:23a ET,6/16/25 10:24a ET,Sell,"","1,559","$64.98"
CON,6/13/25 4:16p ET,6/16/25 9:31a ET,Cover,"","4,935","$21.38"
PLTR,6/13/25 11:51a ET,6/13/25 11:51a ET,Sell,"","1,079","$138.94"
BA,6/13/25 11:51a ET,6/13/25 11:51a ET,Buy,"","376","$201.08"
BA,6/13/25 11:51a ET,6/13/25 11:51a ET,Cover,"","587","$201.05"
CHYM,6/12/25 10:59p ET,6/13/25 9:30a ET,Buy,"","1,851","$36.87"
KURE,6/12/25 10:58p ET,6/13/25 9:30a ET,Sell,"","2,954","$17.74"
COIN,6/12/25 8:41p ET,6/13/25 9:30a ET,Sell,"","942","$237.45"
CON,6/12/25 5:56p ET,6/13/25 9:30a ET,Short,"","4,935","$21.54"
BA,6/12/25 9:59a ET,6/12/25 9:59a ET,Short,"","587","$203.62"
HOOD,6/12/25 9:57a ET,6/12/25 9:57a ET,Sell,"","1,981","$75.34"
KURE,6/11/25 4:47p ET,6/12/25 9:30a ET,Buy,"","2,954","$17.93"
HOOD,6/11/25 4:44p ET,6/12/25 9:30a ET,Buy,"","1,981","$73.53"
BAC,6/11/25 4:44p ET,6/12/25 9:30a ET,Buy,"","2,711","$44.41"
PLTR,6/11/25 4:42p ET,6/12/25 9:30a ET,Buy,"","1,079","$136.43"
AAP,6/11/25 4:40p ET,6/12/25 9:30a ET,Cover,"","1,467","$51.03"
RDFN,6/11/25 1:13p ET,6/11/25 1:13p ET,Sell,"","10,285","$10.80"
AAP,6/10/25 12:29p ET,6/10/25 12:29p ET,Short,"","1,467","$52.95"
