Symbol,Order Date,Transaction Date,Type,Cancel Reason,Amount,Price
MSFT,7/21/25 7:57p ET,7/22/25 9:30a ET,Buy,"","838","$510.95"
UNH,7/21/25 7:48p ET,7/22/25 9:30a ET,Sell,"","79","$282.26"
GSK,7/21/25 7:48p ET,7/22/25 9:30a ET,Sell,"","1,000","$36.37"
COST,7/18/25 12:15p ET,7/18/25 12:16p ET,Sell,"","25","$954.54"
UPST,7/16/25 10:45p ET,7/17/25 9:30a ET,Buy,"","300","$77.76"
CRWV,7/16/25 10:44p ET,7/17/25 9:30a ET,Buy,"","200","$141.01"
HD,7/16/25 10:37p ET,7/17/25 9:30a ET,Sell,"","125","$356.00"
LDOS,7/16/25 10:36p ET,7/17/25 9:30a ET,Buy,"","200","$160.82"
LHX,7/16/25 10:34p ET,7/17/25 9:30a ET,Buy,"","80","$264.20"
SHEL,7/7/25 8:54p ET,7/8/25 9:30a ET,Sell,"","300","$69.92"
ESLT,7/7/25 8:53p ET,7/8/25 9:30a ET,Sell,"","50","$443.60"
COST,7/7/25 8:49p ET,7/8/25 9:30a ET,Sell,"","50","$989.03"
INTC,6/17/25 7:22p ET,6/18/25 9:30a ET,Buy,"","500","$20.79"
RTX,6/17/25 7:20p ET,6/18/25 9:30a ET,Buy,"","100","$148.74"
SHEL,6/17/25 7:20p ET,6/18/25 9:30a ET,Buy,"","300","$72.22"
TTE,6/17/25 7:17p ET,6/18/25 9:30a ET,Buy,"","300","$62.16"
CVX,6/17/25 7:14p ET,6/18/25 9:30a ET,Buy,"","400","$149.13"
ESLT,6/17/25 7:12p ET,6/18/25 9:30a ET,Buy,"","100","$454.49"
BA,6/12/25 6:20p ET,6/13/25 9:30a ET,Buy,"","500","$200.68"
DIS,6/10/25 1:20p ET,6/10/25 1:20p ET,Buy,"","300","$118.93"
RBLX,6/10/25 1:19p ET,6/10/25 1:19p ET,Buy,"","250","$93.18"
GEO,6/10/25 1:18p ET,6/10/25 1:18p ET,Buy,"","720","$27.00"
GSK,6/2/25 9:57p ET,6/3/25 9:30a ET,Buy,"","1,000","$40.68"
PANW,6/2/25 9:56p ET,6/3/25 9:30a ET,Buy,"","200","$195.00"
CRWD,6/2/25 9:55p ET,6/3/25 9:30a ET,Buy,"","100","$480.54"
ZS,6/2/25 9:53p ET,6/3/25 9:30a ET,Buy,"","50","$292.72"
XOM,6/2/25 9:51p ET,6/3/25 9:30a ET,Buy,"","250","$102.80"
WFG,6/2/25 9:51p ET,6/3/25 9:30a ET,Buy,"","239","$73.84"
PFE,6/2/25 9:50p ET,6/3/25 9:30a ET,Buy,"","1,500","$23.38"
UNH,6/2/25 9:50p ET,6/3/25 9:30a ET,Buy,"","79","$303.79"
SNOW,6/2/25 9:50p ET,6/3/25 9:30a ET,Buy,"","137","$210.59"
PEP,6/2/25 9:50p ET,6/3/25 9:30a ET,Buy,"","190","$130.63"
NOC,6/2/25 9:49p ET,6/3/25 9:30a ET,Buy,"","53","$483.74"
MSFT,6/2/25 9:49p ET,6/3/25 9:30a ET,Buy,"","54","$461.47"
KO,6/2/25 9:48p ET,6/3/25 9:30a ET,Buy,"","347","$71.77"
JPM,6/2/25 9:48p ET,6/3/25 9:30a ET,Buy,"","94","$263.57"
JNJ,6/2/25 9:47p ET,6/3/25 9:30a ET,Buy,"","164","$154.75"
IQV,6/2/25 9:44p ET,6/3/25 9:30a ET,Buy,"","174","$138.58"
GE,6/2/25 9:44p ET,6/3/25 9:30a ET,Buy,"","106","$247.44"
CVX,6/2/25 9:42p ET,6/3/25 9:30a ET,Buy,"","180","$137.43"
C,6/2/25 9:42p ET,6/3/25 9:30a ET,Buy,"","328","$75.65"
BX,6/2/25 9:41p ET,6/3/25 9:30a ET,Buy,"","171","$138.61"
ASML,6/2/25 9:40p ET,6/3/25 9:30a ET,Buy,"","33","$732.50"
AAPL,6/2/25 9:40p ET,6/3/25 9:30a ET,Buy,"","120","$201.35"
OKLO,5/27/25 12:12p ET,5/27/25 12:12p ET,Buy,"","450","$53.41"
SMR,5/27/25 12:09p ET,5/27/25 12:09p ET,Buy,"","500","$34.34"
DG,5/27/25 12:07p ET,5/27/25 12:07p ET,Buy,"","150","$101.02"
HEI,5/19/25 8:35p ET,5/20/25 9:30a ET,Buy,"","70","$279.58"
NNI,5/19/25 8:34p ET,5/20/25 9:42a ET,Buy,"","175","$119.10"
TSM,5/19/25 8:33p ET,5/20/25 9:30a ET,Buy,"","129","$191.80"
GOOGL,5/19/25 8:33p ET,5/20/25 9:30a ET,Buy,"","150","$166.43"
BA,5/19/25 8:32p ET,5/20/25 9:31a ET,Buy,"","100","$205.00"
BSX,5/19/25 8:32p ET,5/20/25 9:31a ET,Buy,"","234","$106.24"
AMZN,5/19/25 8:32p ET,5/20/25 9:30a ET,Buy,"","100","$204.63"
MRNA,5/19/25 8:31p ET,5/20/25 9:30a ET,Buy,"","947","$26.81"
NVDA,5/19/25 8:30p ET,5/20/25 9:30a ET,Buy,"","150","$134.29"
BUD,5/19/25 8:30p ET,5/20/25 9:30a ET,Buy,"","364","$68.49"
CRWV,5/19/25 8:30p ET,5/20/25 9:30a ET,Buy,"","250","$89.67"
UPST,5/19/25 8:29p ET,5/20/25 9:30a ET,Buy,"","500","$47.34"
VUSB,5/19/25 8:29p ET,5/20/25 9:30a ET,Buy,"","503","$49.70"
LC,5/19/25 8:29p ET,5/20/25 9:32a ET,Buy,"","2,000","$10.51"
ORCL,5/19/25 8:28p ET,5/20/25 9:31a ET,Buy,"","150","$158.42"
LMT,5/19/25 8:27p ET,5/20/25 9:31a ET,Buy,"","60","$472.00"
V,5/19/25 8:27p ET,5/20/25 9:30a ET,Buy,"","50","$367.68"
MA,5/19/25 8:25p ET,5/20/25 9:30a ET,Buy,"","50","$582.42"
LLY,5/19/25 8:23p ET,5/20/25 9:30a ET,Buy,"","40","$757.00"
COST,5/19/25 7:50p ET,5/20/25 9:30a ET,Buy,"","100","$1,030.01"
WMT,5/19/25 7:43p ET,5/20/25 9:30a ET,Buy,"","516","$98.65"
META,5/12/25 7:01p ET,5/13/25 9:31a ET,Buy,"","100","$645.33"
GLD,5/12/25 6:59p ET,5/13/25 9:31a ET,Buy,"","70","$298.99"
HD,5/12/25 6:57p ET,5/13/25 9:31a ET,Buy,"","125","$380.98"
