Symbol,Order Date,Transaction Date,Type,Cancel Reason,Amount,Price
GLD,7/21/25 12:37p ET,7/21/25 12:37p ET,Buy,"","1,274","$312.90"
XLC,7/21/25 12:32p ET,7/21/25 12:33p ET,Buy,"","3,701","$107.57"
XLK,7/21/25 12:31p ET,7/21/25 12:31p ET,Buy,"","1,551","$262.09"
SMH,7/21/25 12:30p ET,7/21/25 12:30p ET,Buy,"","1,406","$291.69"
OPEN,7/21/25 12:27p ET,7/21/25 12:43p ET,Sell,"","10,000","$3.95"
OPEN,7/21/25 12:26p ET,7/21/25 12:26p ET,Buy,"","10,000","$3.85"
OPEN,7/21/25 12:25p ET,7/21/25 12:44p ET,Sell,"","20,000","$3.98"
OPEN,7/21/25 12:25p ET,7/21/25 12:25p ET,Buy,"","20,000","$3.91"
OPEN,7/21/25 12:15p ET,7/21/25 12:23p ET,Cover,"","30,000","$3.92"
OPEN,7/21/25 12:15p ET,7/21/25 12:15p ET,Short,"","30,000","$3.97"
OPEN,7/21/25 12:14p ET,7/21/25 12:14p ET,Sell,"","20,000","$3.92"
OPEN,7/21/25 12:13p ET,7/21/25 12:13p ET,Buy,"","20,000","$3.87"
OPEN,7/21/25 12:12p ET,7/21/25 12:13p ET,Cover,"","40,000","$3.85"
OPEN,7/21/25 12:11p ET,7/21/25 12:11p ET,Short,"","40,000","$3.90"
OPEN,7/21/25 12:05p ET,7/21/25 12:05p ET,Cover,"","60,000","$3.89"
OPEN,7/21/25 12:01p ET,,Cover,"User Initiated","60,000","N/A"
OPEN,7/21/25 12:00p ET,7/21/25 12:00p ET,Short,"","60,000","$3.92"
OPEN,7/21/25 11:59a ET,7/21/25 11:59a ET,Cover,"","50,000","$3.80"
OPEN,7/21/25 11:58a ET,,Cover,"User Initiated","50,000","N/A"
OPEN,7/21/25 11:58a ET,7/21/25 11:58a ET,Short,"","50,000","$3.87"
OPEN,7/21/25 11:55a ET,7/21/25 11:55a ET,Cover,"","20,634","$3.65"
OPEN,7/21/25 11:54a ET,7/21/25 11:54a ET,Short,"","20,634","$3.74"
OPEN,7/21/25 11:41a ET,7/21/25 11:42a ET,Cover,"","38,019","$4.02"
OPEN,7/21/25 11:38a ET,7/21/25 11:38a ET,Short,"","30,000","$4.09"
OPEN,7/21/25 11:33a ET,7/21/25 11:33a ET,Sell,"","453,948","$4.21"
OPEN,7/21/25 11:30a ET,,Sell,"User Initiated","453,948","N/A"
OPEN,7/21/25 11:29a ET,7/21/25 11:29a ET,Short,"","8,019","$4.05"
OPEN,7/21/25 11:19a ET,,Sell,"User Initiated","453,948","N/A"
OPEN,7/21/25 11:08a ET,,Sell,"User Initiated","100","N/A"
OPEN,7/21/25 10:56a ET,7/21/25 10:56a ET,Buy,"","191,453","$3.68"
OPEN,7/20/25 3:25p ET,7/21/25 9:30a ET,Buy,"Insufficient Buying Power","255,109","$2.78"
OPEN,7/19/25 10:07a ET,7/21/25 9:30a ET,Buy,"","198,233","$2.78"
OPEN,7/17/25 11:48p ET,7/18/25 9:30a ET,Buy,"","64,262","$1.85"
JPM,7/17/25 11:34p ET,7/18/25 9:30a ET,Sell,"","188","$289.52"
AMZN,7/17/25 11:34p ET,7/18/25 9:30a ET,Sell,"","99","$225.20"
CRWD,7/17/25 11:33p ET,7/18/25 9:30a ET,Sell,"","74","$472.31"
LLY,7/17/25 11:33p ET,7/18/25 9:30a ET,Sell,"","70","$763.90"
MAR,7/17/25 11:33p ET,7/18/25 9:30a ET,Sell,"","96","$272.50"
KKR,7/17/25 11:32p ET,7/18/25 9:30a ET,Sell,"","199","$148.08"
WELL,7/17/25 11:32p ET,7/18/25 9:30a ET,Sell,"","415","$157.34"
RIO,7/17/25 11:31p ET,7/18/25 9:30a ET,Sell,"","1,699","$60.45"
WPC,7/17/25 11:31p ET,7/18/25 9:32a ET,Cover,"","239","$61.34"
AZN,7/17/25 11:30p ET,7/18/25 9:30a ET,Sell,"","624","$69.59"
LMT,7/17/25 11:30p ET,7/18/25 9:30a ET,Sell,"","29","$469.50"
KMI,7/17/25 11:29p ET,7/18/25 9:30a ET,Sell,"","733","$27.68"
POOL,7/17/25 11:28p ET,7/18/25 9:30a ET,Sell,"","102","$301.82"
HD,7/17/25 11:28p ET,7/18/25 9:30a ET,Sell,"","199","$359.49"
WMT,7/17/25 11:27p ET,7/18/25 9:30a ET,Sell,"","90","$95.06"
LOW,7/17/25 11:27p ET,7/18/25 9:30a ET,Sell,"","140","$219.67"
LYFT,7/17/25 11:26p ET,7/18/25 9:30a ET,Sell,"","694","$14.78"
DHR,7/17/25 11:25p ET,7/18/25 9:30a ET,Sell,"","123","$196.20"
COST,7/17/25 11:25p ET,7/18/25 9:30a ET,Sell,"","55","$958.14"
ADBE,7/17/25 11:24p ET,7/18/25 9:30a ET,Sell,"","323","$367.56"
BRK.B,7/17/25 11:23p ET,7/18/25 9:30a ET,Sell,"","49","$474.53"
CWH,7/17/25 11:23p ET,7/18/25 9:30a ET,Sell,"","3,414","$17.50"
KKR,7/10/25 11:38p ET,7/11/25 9:30a ET,Buy,"","200","$141.00"
NVDA,7/10/25 11:36p ET,7/11/25 9:30a ET,Buy,"","300","$163.72"
CWH,7/10/25 11:31p ET,7/11/25 9:32a ET,Sell,"","3,000","$18.49"
LYFT,7/10/25 11:27p ET,7/11/25 9:30a ET,Buy,"","695","$15.18"
PG,7/10/25 11:23p ET,7/11/25 9:30a ET,Sell,"","65","$157.34"
TGT,7/10/25 11:23p ET,7/11/25 9:30a ET,Sell,"","452","$104.31"
BABA,7/10/25 11:22p ET,7/11/25 9:30a ET,Sell,"","530","$106.91"
WPC,6/26/25 11:41p ET,6/27/25 9:30a ET,Short,"","239","$62.88"
DHR,6/26/25 11:38p ET,6/27/25 9:30a ET,Buy,"","124","$203.50"
RIO,6/26/25 11:37p ET,6/27/25 9:30a ET,Buy,"","1,700","$58.49"
PEN,6/26/25 11:33p ET,6/27/25 9:34a ET,Sell,"","100","$257.25"
TM,6/26/25 11:28p ET,6/27/25 9:30a ET,Sell,"","333","$175.44"
ICE,6/16/25 12:47p ET,6/16/25 12:47p ET,Cover,"","56","$180.55"
WCC,6/13/25 4:16p ET,6/16/25 9:30a ET,Cover,"","57","$175.09"
M,6/13/25 4:15p ET,6/16/25 9:30a ET,Cover,"","840","$11.44"
WCC,6/12/25 11:38p ET,6/13/25 9:30a ET,Short,"","57","$175.53"
ICE,6/12/25 11:38p ET,6/13/25 9:30a ET,Short,"","56","$178.18"
M,6/12/25 11:36p ET,6/13/25 9:30a ET,Short,"","840","$11.52"
NUS,6/12/25 11:17p ET,6/13/25 9:30a ET,Sell,"","3,585","$7.85"
F,6/5/25 11:49p ET,6/6/25 9:30a ET,Sell,"","7,211","$10.16"
WELL,6/5/25 11:46p ET,6/6/25 9:30a ET,Buy,"","416","$153.31"
WMT,6/5/25 11:32p ET,6/6/25 9:30a ET,Cover,"","90","$98.42"
NVDA,6/3/25 10:42a ET,6/3/25 10:42a ET,Buy,"","2,900","$141.33"
CWH,6/2/25 7:15p ET,6/3/25 9:30a ET,Buy,"","2,862","$16.65"
JPM,6/2/25 7:14p ET,6/3/25 9:30a ET,Buy,"","189","$263.57"
COOK,5/30/25 4:49p ET,6/2/25 9:31a ET,Sell,"","132,611","$1.40"
COOK,5/30/25 4:49p ET,,Sell,"Expired","132,611","N/A"
NVDA,5/30/25 4:37p ET,6/2/25 9:31a ET,Buy,"Insufficient Buying Power","2,760","$135.54"
GAMR,5/30/25 12:08a ET,5/30/25 1:34p ET,Buy,"","646","$76.12"
SN,5/30/25 12:08a ET,5/30/25 9:30a ET,Buy,"","529","$93.38"
HD,5/30/25 12:07a ET,5/30/25 9:30a ET,Sell,"","90","$366.36"
DIA,5/30/25 12:07a ET,5/30/25 9:30a ET,Sell,"","324","$422.16"
EXR,5/30/25 12:07a ET,5/30/25 9:30a ET,Sell,"","851","$150.36"
JKS,5/30/25 12:06a ET,5/30/25 9:32a ET,Sell,"","2,000","$18.07"
COOK,5/30/25 12:06a ET,5/30/25 9:30a ET,Buy,"","66,305","$1.45"
BABA,5/30/25 12:06a ET,5/30/25 9:30a ET,Buy,"","256","$115.07"
MSTR,5/30/25 12:05a ET,5/30/25 9:30a ET,Sell,"","10","$369.00"
WEN,5/30/25 12:05a ET,5/30/25 9:30a ET,Sell,"","1,972","$11.07"
KO,5/23/25 12:00a ET,5/23/25 9:30a ET,Sell,"","400","$71.51"
EQT,5/22/25 11:55p ET,5/23/25 9:30a ET,Sell,"","500","$55.30"
LLY,5/22/25 11:45p ET,5/23/25 9:30a ET,Buy,"","71","$711.45"
NKE,5/22/25 11:44p ET,5/23/25 9:30a ET,Buy,"Insufficient Buying Power","800","$59.86"
LCID,5/22/25 11:43p ET,5/23/25 9:30a ET,Sell,"","13,285","$2.61"
AMC,5/22/25 11:43p ET,5/23/25 9:30a ET,Sell,"","17,618","$3.16"
CRCT,5/22/25 11:43p ET,5/23/25 9:30a ET,Sell,"","3,987","$6.01"
LMT,5/15/25 11:52p ET,5/16/25 9:30a ET,Buy,"","30","$465.80"
MSTR,5/15/25 11:51p ET,5/16/25 9:30a ET,Buy,"","10","$399.51"
AMZN,5/15/25 11:49p ET,5/16/25 9:30a ET,Buy,"","100","$206.85"
BRK.B,5/15/25 11:47p ET,5/16/25 9:31a ET,Buy,"","50","$508.49"
JKS,5/15/25 11:44p ET,5/16/25 9:30a ET,Buy,"","2,000","$19.35"
EQT,5/15/25 11:40p ET,5/16/25 9:30a ET,Buy,"","500","$55.99"
CRWD,5/15/25 11:38p ET,5/16/25 9:30a ET,Buy,"","75","$435.03"
PEN,5/15/25 11:36p ET,5/16/25 9:30a ET,Buy,"","100","$274.99"
SPOT,5/15/25 11:35p ET,5/16/25 9:30a ET,Buy,"","75","$648.33"
DDOG,5/15/25 11:33p ET,5/16/25 9:31a ET,Buy,"","300","$117.74"
WMT,5/15/25 11:27p ET,5/16/25 9:30a ET,Short,"","90","$96.00"
COOK,5/15/25 11:13p ET,5/16/25 9:31a ET,Sell,"","70,652","$1.46"
