Symbol,Order Date,Transaction Date,Type,Cancel Reason,Amount,Price
ASB,7/24/25 10:17a ET,7/24/25 10:17a ET,Buy,"","1,945","$25.69"
UHS,7/24/25 10:17a ET,7/24/25 10:17a ET,Buy,"","309","$162.46"
CVS,7/24/25 10:16a ET,7/24/25 10:16a ET,Buy,"","816","$61.31"
HBM,7/24/25 10:15a ET,7/24/25 10:15a ET,Buy,"","4,927","$10.14"
AMD,7/17/25 9:52p ET,7/18/25 9:30a ET,Sell,"","313","$159.61"
AMD,7/17/25 9:51p ET,,Buy,"User Initiated","283","N/A"
XOM,7/17/25 9:45p ET,7/18/25 9:30a ET,Sell,"","723","$110.89"
NVDA,7/17/25 9:41p ET,7/18/25 9:30a ET,Sell,"","290","$173.73"
AVGO,7/17/25 9:40p ET,7/18/25 9:30a ET,Sell,"","175","$287.32"
ORCL,7/10/25 10:39p ET,7/11/25 9:30a ET,Buy,"","145","$231.39"
OWL,7/10/25 10:36p ET,7/11/25 9:30a ET,Buy,"Insufficient Buying Power","2,181","$19.37"
ET,7/10/25 10:35p ET,7/11/25 9:30a ET,Buy,"","3,432","$17.43"
BEP,7/10/25 10:35p ET,7/11/25 9:30a ET,Buy,"","3,514","$25.45"
GS,6/26/25 11:35p ET,6/27/25 9:30a ET,Buy,"","103","$690.06"
MS,6/26/25 11:35p ET,6/27/25 9:30a ET,Buy,"","662","$140.32"
PLTR,6/26/25 11:33p ET,6/27/25 9:30a ET,Buy,"","626","$144.87"
BTC,6/26/25 11:28p ET,6/27/25 9:30a ET,Buy,"","2,938","$47.32"
IAU,6/26/25 11:17p ET,6/27/25 9:30a ET,Buy,"","2,000","$61.39"
XOM,6/26/25 11:14p ET,6/27/25 9:30a ET,Buy,"","1,000","$110.17"
ABT,6/13/25 11:16a ET,6/13/25 11:17a ET,Buy,"","110","$136.64"
LMT,6/13/25 11:16a ET,6/13/25 11:16a ET,Buy,"","50","$485.57"
LHX,6/13/25 11:13a ET,6/13/25 11:13a ET,Buy,"","150","$255.74"
RTX,6/13/25 11:13a ET,6/13/25 11:13a ET,Buy,"","200","$144.93"
SCI,6/13/25 11:09a ET,6/13/25 11:10a ET,Buy,"","200","$79.48"
LVS,6/13/25 11:09a ET,6/13/25 11:09a ET,Buy,"","400","$41.20"
TSLA,6/13/25 11:08a ET,6/13/25 11:08a ET,Buy,"","150","$319.12"
XOM,6/12/25 11:35p ET,6/13/25 9:30a ET,Buy,"","1,000","$112.35"
BRK.B,6/12/25 11:34p ET,6/13/25 9:30a ET,Buy,"","220","$486.31"
MCHP,6/12/25 11:33p ET,6/13/25 9:30a ET,Sell,"","4,000","$66.54"
OTIS,6/5/25 11:42p ET,6/6/25 9:30a ET,Buy,"","50","$95.67"
CAH,6/5/25 11:42p ET,6/6/25 9:30a ET,Buy,"","50","$153.63"
AAPL,6/5/25 11:37p ET,6/6/25 9:30a ET,Buy,"","50","$203.00"
MCK,6/5/25 11:37p ET,6/6/25 9:30a ET,Buy,"","45","$702.74"
PLTR,6/5/25 11:35p ET,6/6/25 9:30a ET,Sell,"","694","$123.75"
UNH,6/5/25 11:35p ET,6/6/25 9:30a ET,Sell,"","10","$297.47"
QDEL,6/5/25 11:34p ET,6/6/25 9:30a ET,Sell,"","6,023","$30.21"
SOFI,6/5/25 11:34p ET,6/6/25 9:30a ET,Sell,"","100","$14.00"
SE,6/5/25 11:34p ET,6/6/25 9:30a ET,Sell,"","559","$171.82"
RIVN,6/5/25 11:33p ET,6/6/25 9:30a ET,Sell,"","6,564","$13.89"
HOOD,6/5/25 11:33p ET,6/6/25 9:30a ET,Sell,"","1,516","$74.60"
COIN,6/5/25 11:32p ET,6/6/25 9:30a ET,Sell,"","373","$250.51"
XYZ,6/5/25 11:32p ET,6/6/25 9:30a ET,Sell,"","2,015","$64.53"
BA,6/5/25 11:32p ET,6/6/25 9:30a ET,Sell,"","55","$210.48"
AXON,5/29/25 11:36p ET,5/30/25 9:30a ET,Buy,"","5","$731.01"
META,5/29/25 11:35p ET,5/30/25 9:30a ET,Buy,"","14","$642.50"
BA,5/29/25 11:35p ET,5/30/25 9:30a ET,Buy,"","45","$206.75"
ORCL,5/29/25 11:34p ET,5/30/25 9:30a ET,Buy,"","102","$163.43"
XYZ,5/29/25 11:34p ET,5/30/25 9:30a ET,Buy,"","279","$61.72"
GOOGL,5/29/25 11:34p ET,5/30/25 9:30a ET,Buy,"","257","$171.36"
WBS,5/29/25 11:33p ET,5/30/25 9:30a ET,Buy,"","873","$51.83"
PR,5/29/25 11:33p ET,5/30/25 9:30a ET,Buy,"Insufficient Buying Power","4,383","$12.69"
WAL,5/29/25 11:32p ET,5/30/25 9:37a ET,Buy,"","759","$72.37"
RNR,5/29/25 11:32p ET,5/30/25 9:30a ET,Buy,"","369","$245.33"
FCNCA,5/29/25 11:30p ET,5/30/25 9:30a ET,Buy,"","61","$1,838.98"
QDEL,5/29/25 11:28p ET,5/30/25 9:30a ET,Buy,"","6,023","$30.65"
MCHP,5/29/25 11:27p ET,5/30/25 9:30a ET,Buy,"","4,266","$58.24"
KOS,5/29/25 11:25p ET,5/30/25 9:30a ET,Buy,"","8","$1.72"
XYZ,5/29/25 11:16p ET,,Buy,"User Initiated","14,383","N/A"
PLTR,5/15/25 11:29p ET,5/16/25 9:30a ET,Buy,"","674","$129.23"
CMI,5/15/25 11:29p ET,5/16/25 9:30a ET,Buy,"","293","$332.94"
