Symbol,Order Date,Transaction Date,Type,Cancel Reason,Amount,Price
LIDR,7/24/25 12:30p ET,7/24/25 12:30p ET,Short,"","107,089","$2.86"
SXTC,7/24/25 12:25p ET,7/24/25 1:02p ET,Cover,"","800,000","$1.69"
TSLA,7/24/25 12:14p ET,7/24/25 12:14p ET,Buy,"","5","$301.56"
UNH,7/24/25 12:13p ET,7/24/25 12:13p ET,Short,"","5","$280.00"
GOOG,7/24/25 12:12p ET,7/24/25 12:12p ET,Buy,"","5","$194.12"
HSY,7/14/25 2:24p ET,7/14/25 2:24p ET,Sell,"","93","$165.24"
AMC,7/14/25 2:23p ET,7/14/25 2:23p ET,Sell,"","5,000","$3.31"
XOM,7/9/25 10:06p ET,7/10/25 9:30a ET,Sell,"","1,000","$113.71"
F,7/9/25 10:05p ET,7/10/25 9:30a ET,Sell,"","3,000","$11.88"
TSLA,7/8/25 11:18a ET,7/8/25 11:18a ET,Buy,"","100","$301.99"
KMI,7/8/25 11:17a ET,7/8/25 11:18a ET,Buy,"","500","$27.82"
BAC,7/8/25 11:17a ET,7/8/25 11:17a ET,Buy,"","1,000","$47.16"
LMT,7/8/25 11:17a ET,7/8/25 11:18a ET,Buy,"","100","$463.11"
SNOW,6/26/25 1:58p ET,6/26/25 1:59p ET,Buy,"","200","$221.05"
FDX,6/26/25 1:58p ET,6/26/25 1:58p ET,Buy,"","100","$221.56"
MU,6/26/25 1:57p ET,6/26/25 1:57p ET,Buy,"","500","$124.11"
XOM,6/25/25 11:58a ET,6/25/25 11:58a ET,Buy,"","1,000","$109.15"
TSLA,6/25/25 11:57a ET,6/25/25 11:57a ET,Buy,"","500","$326.05"
XOM,6/25/25 9:57a ET,6/25/25 9:57a ET,Sell,"","800","$108.42"
GRAB,6/13/25 11:41a ET,6/13/25 11:41a ET,Buy,"","2,000","$4.61"
F,6/13/25 11:40a ET,6/13/25 11:40a ET,Buy,"","3,000","$10.47"
GT,6/13/25 11:39a ET,6/13/25 11:39a ET,Buy,"","5,000","$11.04"
AMC,6/13/25 11:39a ET,6/13/25 11:39a ET,Buy,"","5,000","$3.18"
SXTC,6/13/25 11:37a ET,6/13/25 11:45a ET,Short,"","300,000","$1.93"
CRVS,6/11/25 3:46p ET,6/11/25 3:46p ET,Buy,"","12,155","$4.50"
BRLS,6/9/25 10:37a ET,6/9/25 10:42a ET,Cover,"","70,000","$4.94"
BRLS,6/6/25 1:10p ET,6/6/25 1:10p ET,Short,"","20,000","$6.21"
SXTC,6/6/25 12:46p ET,6/6/25 12:46p ET,Short,"","500,000","$1.87"
BRLS,6/6/25 12:41p ET,6/6/25 12:43p ET,Short,"","50,000","$4.84"
PHAT,6/6/25 12:24p ET,6/6/25 12:29p ET,Cover,"","20,000","$9.89"
PHAT,6/6/25 12:23p ET,6/6/25 12:23p ET,Short,"","20,000","$10.76"
VS,6/6/25 11:25a ET,6/6/25 11:27a ET,Cover,"","50,000","$2.26"
OMER,6/6/25 11:25a ET,6/6/25 11:25a ET,Sell,"","5,000","$3.62"
VS,6/6/25 11:17a ET,6/6/25 11:20a ET,Short,"","50,000","$2.26"
TNGX,6/6/25 10:38a ET,6/6/25 10:38a ET,Cover,"","200,000","$4.15"
TNGX,6/6/25 10:24a ET,6/6/25 10:24a ET,Short,"","200,000","$4.28"
HYLN,6/5/25 2:25p ET,6/5/25 2:25p ET,Cover,"","100,000","$1.52"
AVGO,6/5/25 1:53p ET,6/5/25 1:53p ET,Sell,"","39","$263.04"
HYLN,6/5/25 1:46p ET,,Cover,"User Initiated","100,000","N/A"
MODV,6/5/25 1:45p ET,6/5/25 1:45p ET,Cover,"","261,048","$3.90"
MODV,6/5/25 1:29p ET,6/5/25 1:29p ET,Short,"","61,048","$4.29"
MODV,6/5/25 12:43p ET,6/5/25 12:43p ET,Short,"","200,000","$3.96"
MODV,6/5/25 11:55a ET,6/5/25 11:55a ET,Cover,"","100,000","$4.05"
MODV,6/5/25 11:46a ET,6/5/25 11:46a ET,Short,"","100,000","$4.14"
MTN,6/4/25 2:02p ET,6/4/25 2:05p ET,Cover,"","100","$155.37"
AOSL,6/4/25 2:01p ET,6/4/25 2:01p ET,Buy,"","407","$23.55"
AMD,6/4/25 1:56p ET,6/4/25 1:56p ET,Buy,"","622","$118.91"
HALO,6/4/25 1:54p ET,6/4/25 1:56p ET,Buy,"","189","$53.84"
SMMT,6/4/25 1:53p ET,6/4/25 1:53p ET,Buy,"","503","$20.29"
SSII,6/4/25 1:52p ET,6/4/25 1:57p ET,Buy,"","2,438","$5.60"
ARDX,5/30/25 2:27p ET,5/30/25 2:27p ET,Cover,"","100,000","$3.71"
ACHR,5/29/25 3:29p ET,5/29/25 3:29p ET,Cover,"","8,012","$10.50"
NVDA,5/29/25 3:28p ET,5/29/25 3:28p ET,Sell,"","999","$138.81"
HOLO,5/29/25 3:25p ET,5/29/25 3:26p ET,Cover,"","20,000","$6.76"
MTN,5/29/25 11:29a ET,5/29/25 11:29a ET,Short,"","100","$162.13"
ANF,5/29/25 11:28a ET,5/29/25 11:29a ET,Buy,"","900","$82.99"
GOOG,5/29/25 11:15a ET,5/29/25 11:16a ET,Buy,"","100","$173.31"
